,Year,Month,ET_fill,ppt,eto_hargreaves,aet,def,pr,pet,ro,delta,pr_delta,ratio_budyko_hargreaves_Fu,aet_budyko_Fu,ratio_budyko_hargreaves_Turc-pike,aet_budyko_Turc-pike,ratio_budyko_hargreaves_Zhang,aet_budyko_Zhang,ratio_budyko_hargreaves_wang-Tang,aet_budyko_wang-Tang
21,2011,6,8.60176689352016,18.6,11.705761682728369,11.8,179.20000000000002,4.0,192.4,0.0,-7.55,26.150000000000002,0.3752224896827925,9.812068105205023,0.3721930217706706,9.732847519303037,0.34460076367940556,9.011309970216455,0.37810115808955574,9.887345284041883
22,2011,9,4.384300154538042,0.1,3.4651442377796955,3.4000000000000004,151.4,1.0,156.10000000000002,0.0,-2.8,2.9,0.6880743673335705,1.9954156652673545,0.6760383153068489,1.9605111143898617,0.6365873310486053,1.8461032600409553,0.7001955253702336,2.0305670235736772
23,2011,10,2.815849997920725,0.1,2.695515604667868,25.5,71.2,24.0,96.4,1.0,-1.8999999999999984,1.9999999999999984,0.7224021049423448,1.4448042098846885,0.7105861580495413,1.4211723160990815,0.6727934702976331,1.3455869405952652,0.7342159782082812,1.4684319564165613
24,2011,11,21.79124364591996,32.9,33.54644363458255,26.200000000000003,20.700000000000003,26.0,46.400000000000006,1.0,-0.9000000000000004,33.8,0.6311451113895836,21.332704764967925,0.6196914018023683,20.945569380920045,0.5792430460960987,19.578414958048132,0.6427285597186202,21.72422531848936
25,2011,12,11.596516718203747,6.7,20.29316281938372,5.0,25.6,4.0,31.5,0.0,-1.2000000000000002,7.9,0.8620465939776056,6.810168092423085,0.8572193169176272,6.772032603649255,0.8371910967678611,6.613809664466102,0.8665539348260065,6.845776085125451
26,2012,1,11.215311958966266,40.4,21.731575774019728,32.2,0.0,37.0,36.7,2.0,1.1999999999999993,39.2,0.44073059352668564,17.27663926624608,0.43546035228543656,17.070045809589114,0.40271303580878903,15.786351003704532,0.4458591994120423,17.477680616952057
27,2012,2,19.93780669415718,26.699999999999996,22.544046823426335,17.0,33.7,16.0,52.6,1.0,-1.5999999999999996,28.299999999999997,0.5595565599721513,15.835450647211879,0.5499944142414182,15.564841923032132,0.5107867115288971,14.455263936267787,0.5691615182900254,16.107270967607715
28,2012,3,20.498715708681416,110.7,24.271295097421742,58.75,24.5,60.0,82.4,3.0,-0.2000000000000028,110.9,0.20355486875323248,22.574234944733483,0.20391049021885269,22.613673365270763,0.1919439648760953,21.28658570475897,0.2031845911820534,22.533171162089722
29,2012,4,7.626560897398422,25.099999999999998,10.542551721657759,53.2,76.05000000000001,49.0,129.20000000000002,2.0,-1.2000000000000028,26.3,0.343666013104603,9.038416144651059,0.34156801429206257,8.983238775881246,0.3167183377511384,8.32969228285494,0.34563275031279567,9.090141333226526
30,2012,5,5.654710074056593,0.2,3.8703774346844577,1.5,190.7,1.0,194.65,0.0,-1.1,1.3,0.8837619640175483,1.1488905532228129,0.8809226789695922,1.14519948266047,0.8654846406184472,1.1251300328039815,0.886341859609868,1.1522444174928284
33,2012,10,13.61446888241184,17.400000000000002,15.51857067695314,11.8,87.30000000000001,12.0,100.9,1.0,-0.8000000000000007,18.200000000000003,0.5819923647394787,10.592261038258513,0.5717370391150447,10.405614111893815,0.5318825122652096,9.680261723226815,0.5923287330430231,10.780382941383023
34,2012,11,19.379467150557083,64.00000000000001,39.297742990074084,45.3,0.0,60.0,49.7,3.0,7.949999999999999,56.05000000000001,0.517227718013024,28.990613594630002,0.5091292899578895,28.536696702139714,0.4716908439699676,26.43827180451669,0.525289257012711,29.442462855562457
35,2012,12,6.1899977670954,40.5,13.858245610939035,27.700000000000003,0.0,83.0,28.3,4.0,52.6,-12.100000000000001,,,,,-1.7302509645830666,20.93603667145511,-1.3898049099028016,16.8166394098239
36,2013,1,7.309064098004681,5.900000000000001,21.080079067496143,18.1,12.1,13.0,31.4,1.0,-4.699999999999999,10.600000000000001,0.8157671230659123,8.64713150449867,0.8074454193973115,8.558921445611503,0.7793024486564779,8.260605955758667,0.8237796081696322,8.732063846598104
37,2013,2,14.780947162458215,8.6,21.918212314695037,24.25,24.0,11.0,48.8,1.0,-11.700000000000005,20.300000000000004,0.6575114689769643,13.34748282023238,0.6456596203710372,13.106890293532057,0.6054247389613399,12.290122200915201,0.6694881052084695,13.590608535731933
38,2013,3,8.295660054483934,15.799999999999999,18.417635666672098,26.6,64.8,16.0,94.3,1.0,-13.9,29.7,0.47683789196844506,14.162085391462817,0.47023201053323166,13.96589071283698,0.43505940579528735,12.921264352120033,0.48334073048826504,14.355219695501471
39,2013,4,9.016325153983457,13.151000000000002,15.397372628416985,15.7,128.4,9.0,147.1,0.0,-6.699999999999999,19.851,0.5507235467552134,10.93241312663774,0.5414526398059656,10.748376352788222,0.502557439432423,9.97626773017303,0.5600208856348275,11.116974600736961
40,2013,5,6.470741288552216,1.404,12.094811612933569,6.550000000000001,178.15000000000003,3.0,187.25,0.0,-4.4,5.804,0.8250918023062517,4.788832820585485,0.8173813582993933,4.744081403569679,0.7906839346966004,4.589129556979069,0.8324770248258823,4.831696652089421
41,2013,6,7.115096322133922,2.901,9.344326845935647,4.1000000000000005,208.1,1.0,216.5,0.0,-3.1000000000000005,6.001,0.760322194139285,4.56269348702985,0.7493716219206862,4.496979103146038,0.7145093106949417,4.287770373480345,0.7711383576684375,4.627601284368294
42,2013,9,5.8275072410073925,12.349,6.764116259083361,5.7,146.8,4.0,153.60000000000002,0.0,-1.3000000000000007,13.649000000000001,0.40573502012628837,5.537877289703711,0.4017041040634003,5.482859316361351,0.3716059714312275,5.072049904064825,0.4096098764233732,5.590765203302621
43,2013,11,3.5190493338036943,20.160999999999994,10.252710350039294,18.9,30.95,19.0,52.0,1.0,-1.1000000000000014,21.260999999999996,0.3974228336573582,8.449606866389091,0.39367325816434495,8.369887141832136,0.3642413897042521,7.744136186502103,0.40101623671868813,8.526006208876026
44,2013,12,4.1834585926629835,13.769,8.862235124137573,7.0,21.45,6.0,30.3,0.0,-0.6000000000000005,14.369,0.47506608581043364,6.826224587010121,0.4685262765861551,6.732254068266462,0.4334644604859397,6.2284508327224675,0.48150043902464446,6.918679808345116
45,2014,1,2.58857209461659,2.285,5.451274878471307,7.15,32.7,7.0,42.2,0.0,-0.5,2.785,0.8125097667032715,2.262839700268611,0.8039860710862915,2.239101207975322,0.7753604281027852,2.159378792266257,0.8207311596500886,2.285736279625497
46,2014,2,11.438275628524199,80.35,17.315150000235562,48.7,0.0,57.0,52.5,3.0,3.0,77.35,0.20777304425983334,16.071244973498107,0.20809785484478652,16.096369072244237,0.19575215182964256,15.14142894402285,0.2074320137503117,16.04486626358661
47,2014,3,13.011626143920612,34.724999999999994,20.681309565344247,22.6,70.8,23.0,96.0,1.0,-1.0,35.724999999999994,0.4545635983056233,16.23928454946839,0.44878564878185395,16.03286730273173,0.41506894085982843,14.828337912217368,0.46021196014076565,16.44107227602885
48,2014,4,9.366524949142136,32.32,17.81418983532074,25.95,112.1,23.0,139.5,1.0,-1.0,33.32,0.4292757479882061,14.303467922967029,0.42441950139098505,14.141657786347622,0.3925097433542346,13.078424648563097,0.43398309961117215,14.460316879044257
49,2014,5,1.0045136047697527,0.1,8.116452218690664,1.5,194.7,1.0,199.6,0.0,-0.8999999999999999,0.9999999999999999,0.9650794118393424,0.9650794118393423,0.9690158807888153,0.9690158807888152,0.9712713047226572,0.9712713047226571,0.960961102048661,0.9609611020486609
50,2014,9,7.560305694624901,6.3,11.734696741107912,7.9,144.9,8.0,157.60000000000002,0.0,-0.3000000000000007,6.6000000000000005,0.7917788185117796,5.225740202177746,0.7821101192633991,5.161926787138435,0.7506771246094138,4.954469022422131,0.8012021044981663,5.287933889687898
51,2014,10,4.067955456195042,11.16,8.694382898400498,15.6,87.4,16.0,105.65,1.0,-0.8999999999999986,12.059999999999999,0.5264591938280108,6.349097877565809,0.5180288927061485,6.24742844603615,0.4801479856395427,5.790584706812885,0.5348698245652718,6.450530084257177
52,2014,11,11.236862032591944,26.2577,16.974098422757994,22.9,23.25,24.0,49.6,1.0,-0.1000000000000014,26.3577,0.4891941466157044,12.894032558252752,0.48212776290008014,12.707778936191442,0.4462080255121838,11.761017274042487,0.49617562014936173,13.078048143210832
53,2014,12,5.6601873141092724,74.3,12.778229935249465,36.0,0.0,108.0,36.2,5.0,69.35,4.950000000000003,0.8628282267495777,4.270999722410412,0.8580692502084158,4.247442788531661,0.8381980890655121,4.149080540874287,0.8672687132861667,4.292980130766527
54,2015,1,11.793810790446924,3.8000000000000003,35.09957543733265,14.5,18.8,4.0,34.5,0.0,-11.0,14.8,0.8488330490767826,12.562729126336382,0.8428943551504177,12.474836456226182,0.8203096661636065,12.140583059221376,0.854436007549699,12.645652911735546
55,2015,2,15.659905248899546,43.97200000000001,23.73372378122919,37.05,17.05,30.0,57.900000000000006,1.0,-4.100000000000001,48.07200000000001,0.4045823855093058,19.449084436203353,0.4005908286711803,19.25720231588098,0.37058430076009125,17.81472850613911,0.40841779382328564,19.63346018467299
56,2015,3,7.6927772548504665,2.1550000000000002,11.913690329565664,19.35,83.15,4.0,105.1,0.0,-16.3,18.455000000000002,0.48998998790898596,9.042765226860336,0.4828939954858488,8.91180868669134,0.44692770066453164,8.248050715763933,0.49700231168859255,9.172177662212976
57,2015,4,6.4233853731023025,23.568,10.387004413872965,40.900000000000006,96.55,31.0,140.25,2.0,-8.0,31.568,0.2917004713559259,9.20840047976387,0.29085339483408557,9.181659968122414,0.2707432000532284,8.546821339280314,0.29246565117201906,9.232555676198299
58,2015,5,3.7217575082332575,1.701,4.5287798621281725,12.3,157.9,7.0,171.5,0.0,-4.9,6.601000000000001,0.5100509784016183,3.3668465084290826,0.5022138963005398,3.3151139294798635,0.4651397593834402,3.0703875516900894,0.5178381567333233,3.418249672596668
59,2015,6,2.629214746414078,1.781,2.9999691647705014,5.5,211.5,2.0,221.1,0.0,-3.5,5.281,0.4485069729405906,2.368565324099259,0.4429521925788231,2.339230529008765,0.4096540630840409,2.16338310714682,0.45392645473902665,2.3971856074767994
60,2015,8,6.5189433936486205,0.3,5.418284341724179,2.7,206.0,1.0,210.7,0.0,-1.9000000000000004,2.2,0.8552142095489215,1.8814712610076274,0.8498018017740087,1.8695639639028192,0.8284282334958604,1.822542113690893,0.8602964770482526,1.892652249506156
61,2015,9,3.9803490981586434,0.377,4.873438083348457,5.300000000000001,148.55,4.0,155.3,0.0,-1.6000000000000003,1.9770000000000003,0.8553629038012316,1.691052460815035,0.849962996960981,1.6803768449918597,0.8286181765091402,1.6381781349585705,0.8604328458729381,1.701075736290799
62,2015,10,2.5864615347803346,3.3860000000000006,12.004759572868188,10.8,90.5,10.0,102.2,0.0,-1.3000000000000007,4.686000000000002,0.8616176039713275,4.037540092209642,0.8567529568500989,4.014744355799565,0.8366388089750499,3.9204894588570856,0.866161545435142,4.058833001909077
63,2015,11,9.498454727460857,35.712,18.127644271495527,42.3,0.0,52.0,46.6,3.0,3.5,32.212,0.44550863832674126,14.35072425778099,0.44006385855364216,14.175337011729923,0.4069763519197294,13.109522248038326,0.45081554253863193,14.521670256254414
