point,Year,Month,observed,simulated,model
4,2018,5,4.234862606,7.92267265,DTR
0,2016,10,8.936654568,11.77856614,DTR
2,2017,1,22.52026988,26.03879784,DTR
5,2017,11,20.11259489,15.15083824,DTR
4,2019,12,4.210894541,8.11457481,DTR
9,2011,10,2.815849998,4.94648834,DTR
2,2017,9,3.163764948,4.94648834,DTR
5,2018,5,5.997186408,4.94648834,DTR
3,2018,10,1.654591795,7.92267265,DTR
6,2019,1,10.72167751,8.11457481,DTR
6,2019,11,1.73158028,4.94648834,DTR
2,2018,10,4.785497627,11.77856614,DTR
4,2017,5,3.646871045,4.94648834,DTR
9,2012,3,20.49871571,14.29260805,DTR
9,2012,12,6.189997767,8.11457481,DTR
9,2016,3,30.29992254,24.85030185,DTR
9,2015,6,2.993042835,4.94648834,DTR
3,2019,3,24.17831357,11.77856614,DTR
9,2015,5,3.158080504,4.94648834,DTR
1,2019,9,4.392512268,4.94648834,DTR
9,2010,2,25.35982305,23.63910874,DTR
8,2017,12,0.573315257,4.94648834,DTR
9,2012,2,19.93780669,10.72378663,DTR
9,2014,11,21.7346092,15.15083824,DTR
7,2017,3,23.12237426,23.63910874,DTR
0,2016,12,7.952245853,8.11457481,DTR
4,2018,3,8.222585618,5.80032695,DTR
5,2019,10,3.009202133,4.94648834,DTR
9,2013,3,8.295660054,7.92267265,DTR
4,2015,11,2.349283581,10.72378663,DTR
4,2016,3,14.14796359,10.02344423,DTR
9,2014,9,7.560305695,7.92267265,DTR
5,2018,4,25.78419954,23.63910874,DTR
9,2013,5,8.231487228,4.94648834,DTR
1,2017,11,6.565297143,7.92267265,DTR
9,2011,2,21.85212517,24.37468734,DTR
0,2017,5,16.74672866,7.92267265,DTR
0,2017,10,3.92764713,4.94648834,DTR
4,2014,1,1.350812486,4.94648834,DTR
3,2020,4,11.46218612,11.77856614,DTR
1,2018,11,8.418840492,6.38270067,DTR
1,2017,3,17.00566978,11.77856614,DTR
9,2013,6,11.37042125,4.94648834,DTR
9,2012,1,11.21531196,8.11457481,DTR
6,2018,12,6.730787384,8.11457481,DTR
5,2018,1,13.12864585,14.29260805,DTR
9,2015,1,11.79381079,4.94648834,DTR
7,2019,3,32.40258604,23.63910874,DTR
9,2016,11,16.71486408,10.72378663,DTR
7,2017,12,16.55112317,4.94648834,DTR
4,2015,2,3.489009626,11.77856614,DTR
9,2013,4,13.75221182,10.72378663,DTR
3,2017,8,5.373447316,4.94648834,DTR
4,2018,2,1.994999386,7.92267265,DTR
9,2011,12,11.59651672,7.92267265,DTR
7,2018,2,9.218989577,7.92267265,DTR
6,2018,10,1.414425093,4.94648834,DTR
9,2010,11,15.01841214,15.15083824,DTR
9,2009,10,9.522431076,7.92267265,DTR
9,2016,4,10.01170127,23.63910874,DTR
5,2018,3,55.95462359,23.63910874,DTR
6,2020,5,8.113904755,4.94648834,DTR
5,2017,3,33.21987992,23.63910874,DTR
4,2020,1,2.518471169,8.11457481,DTR
9,2011,1,10.53014893,8.11457481,DTR
9,2009,6,5.417222821,7.92267265,DTR
4,2015,10,1.592861098,7.92267265,DTR
4,2015,12,6.679375435,8.11457481,DTR
2,2016,11,5.966413644,8.11457481,DTR
4,2014,10,0.768043714,7.92267265,DTR
9,2014,2,16.08534286,23.63910874,DTR
9,2010,10,7.246847269,10.72378663,DTR
8,2017,11,4.235207746,4.94648834,DTR
4,2020,12,1.062534016,8.11457481,DTR
4,2013,6,2.859771397,4.94648834,DTR
3,2020,11,2.697623188,7.92267265,DTR
6,2018,1,7.078320287,14.29260805,DTR
2,2019,2,29.52620352,26.03879784,DTR
2,2019,1,11.06682136,8.11457481,DTR
3,2020,12,5.125539483,7.92267265,DTR
0,2019,4,20.95981566,7.92267265,DTR
5,2017,10,5.991059778,4.94648834,DTR
4,2016,11,1.054710671,4.94648834,DTR
6,2018,3,28.92864225,24.85030185,DTR
9,2009,8,6.89515517,4.94648834,DTR
4,2013,11,0.643760028,10.72378663,DTR
5,2017,1,18.34944128,24.85030185,DTR
9,2009,5,6.472561342,7.92267265,DTR
4,2019,4,4.939601342,10.72378663,DTR
9,2012,9,9.829398956,4.94648834,DTR
6,2020,4,8.070299848,23.63910874,DTR
1,2017,9,10.11482402,7.92267265,DTR
0,2018,1,8.390190468,8.11457481,DTR
3,2020,3,19.15736299,11.77856614,DTR
1,2019,1,1.282058107,7.92267265,DTR
6,2020,3,17.21032921,23.63910874,DTR
3,2018,5,2.690658272,4.94648834,DTR
5,2017,2,20.04127656,24.85030185,DTR
9,2015,12,12.23107378,8.11457481,DTR
5,2018,11,9.311518604,8.11457481,DTR
4,2015,3,3.183373017,4.94648834,DTR
4,2020,6,1.612809636,4.94648834,DTR
2,2017,4,13.72131194,10.72378663,DTR
