date,ws,vpd,t_avg,sw_in,es,t_dew,vp,wd,theta_2,rh,H,LE,theta_mean,Rn,theta_1,G,t_min,t_max,G_subday_gaps,LE_subday_gaps,H_subday_gaps,ppt,Rn_subday_gaps,ASCE_ETo,rso,flux,energy,H_corr,ebr,flux_corr,ebr_5day_clim,ebc_cf,LE_corr,ebr_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
1997-04-21,2.8622916666666662,0.14267916666666666,19.049791666666668,,2.265343437049589,17.712508340505895,2.122664270382923,266.3333333333333,,39.94210416666667,123.30191666666668,23.44770833333332,,161.87252083333337,,3.3414583333333323,14.24,25.66,,,,,,,334.9888571563486,146.74962499999995,158.53106250000005,137.03672872220233,0.9256837283860376,163.09631751771838,0.8964871904906526,1.1113917157724824,26.059588795516056,0.8997727676105102,0.8248626480752893,0.9167455137210292,9.1,6.6,0.0,0.13890083541227716,0.14971170847477358,0.9880972759335056,False,
1997-04-22,2.029166666666667,0.13499166666666665,17.787499999999994,,2.093271270173674,16.462425124867448,1.958279603507008,269.8125,,38.748354166666665,114.63835416666667,24.41,,166.196875,,1.1945833333333309,12.51,23.91,,,,,,,336.33539794998205,139.04835416666668,165.00229166666668,127.40811713062521,0.8427055937354406,154.53718891263148,0.8909652185671014,1.1113917157724824,27.12907178200629,0.8997727676105102,0.8576741829542887,0.9532119817673288,9.3,6.6,0.0,0.14442605784353468,0.15032227951756694,0.9921270448159416,False,
1997-04-23,3.323541666666665,0.06674583333333332,12.550624999999995,,1.5033666477590897,11.69282752444359,1.4366208144257555,253.125,,61.11583333333334,155.68606250000005,31.921458333333334,,192.76666666666657,,-6.167083333333334,5.66,19.39,,,,,,,337.65839279488,187.60752083333333,198.93374999999992,173.58940720458537,0.943065321160102,209.181719966617,0.8857860235588059,1.1149964513013833,35.59231276203163,0.8968638409860734,1.1159867848888394,1.244321304850296,9.3,6.4,0.0,0.19442520388285875,0.15606587957673926,0.9988216292911312,False,
1997-04-24,2.1299999999999994,0.06869375,9.482291666666667,,1.2347056354098476,8.530652295221637,1.1660118854098471,230.375,,52.35520833333332,158.38375,20.672500000000007,,191.7408333333333,,-7.90625,2.92,17.16,,,,,,,338.9577037875308,179.05625,199.6470833333333,177.64689290694756,0.8968638409860734,200.83364908375785,0.881027507242452,1.1216232278055518,23.186756176810277,0.8915649883218745,0.7206064430666769,0.8082489246499237,7.9,5.6,0.0,0.1443301651160578,0.14718983219361104,0.8242630602842219,False,
1997-04-25,1.3572916666666666,0.13326666666666664,14.991041666666668,,1.7431410968547028,13.514953142332384,1.6098744301880366,245.75,,24.95652083333332,141.26812499999997,22.43083333333333,,171.20187500000006,,0.9123125000000026,10.06,20.43,,,,,,,340.2332075892587,163.6989583333333,170.28956250000005,158.44961034853813,0.9612976622294938,183.60855403423986,0.8790445061119708,1.1216232278055518,25.158943685701693,0.8915649883218745,0.786023347446929,0.8816220440939494,7.5,5.5,0.0,0.1602949171079908,0.1450711376676186,0.7978912571719022,False,
1997-04-26,1.7274999999999998,0.15931874999999998,17.783958333333327,,2.0957031013125538,16.244191332869026,1.9363843513125552,270.375,,25.60670833333333,135.53481250000002,19.938333333333336,,176.15729166666665,,1.7750000000000004,13.02,24.43,,,,,,,341.4847950399638,155.47314583333338,174.38229166666665,153.39327687851323,0.8915649883218745,175.95874348508042,0.8769533934545476,1.1317629327041951,22.565466606567146,0.8835772679094859,0.7005545104685371,0.7928616272870234,7.2000003,5.5,0.0,0.1441566595067315,0.13644364214624333,0.7504400318043383,False,
1997-04-27,2.52125,0.13145625000000002,15.4925,,1.8098878912844651,14.074509845630393,1.6784316412844655,262.9791666666667,,29.43210416666668,135.71916666666667,17.20604166666667,,178.25625000000005,,-2.941666666666667,9.38,21.98,,,,,,,342.7123707564936,152.92520833333333,181.19791666666669,156.46340747490714,0.8439678068410459,176.29933761242316,0.8737791606899894,1.1528468035704154,19.83593013751605,0.8674179404435677,0.6032253708296452,0.695426440593535,9.5,6.7000003,0.0,0.10379498648582673,0.11970335639965365,0.8020125237886864,False,
1997-04-28,2.7549999999999994,0.08108958333333338,12.25416666666667,,1.4825874592567088,11.207975226094739,1.4014978759233754,279.5833333333333,,48.63312499999999,146.2968958333333,17.251250000000002,,179.08272916666667,,-6.0150000000000015,6.75,18.89,,,,,,,343.9158527167887,163.5481458333333,185.09772916666668,165.57340387385347,0.8835772679094859,185.09772916666668,0.8754689245840516,1.1317629327041951,19.524325292813252,0.8835772679094859,0.6029397463003558,0.682384855516814,7.6,5.5,0.0,0.12406997373032982,0.11080357307840136,0.6094196519312075,False,
1997-04-29,2.135,0.03725625,9.963979166666666,,1.2676778447201589,9.366021336278134,1.230421594720159,268.25,,75.1627291666667,162.07854166666672,10.858333333333333,,174.17708333333337,,-7.676437500000001,4.26,17.06,,,,,,,345.0951718309591,172.93687500000004,181.85352083333333,183.43448564508583,0.950967978005192,195.72354482269887,0.8768587249164397,1.1317629327041951,12.289059177613053,0.8835772679094859,0.3786758626781641,0.42857130488893,6.9,5.1,0.0,0.08403358919390785,0.11779096010253268,0.6007338965229166,False,
1997-04-30,1.4679166666666668,0.06984791666666666,13.986041666666665,,1.6673084426737272,13.127830655354565,1.59746052600706,200.85416666666663,,62.81979166666665,128.6079166666667,9.747708333333334,,192.58229166666683,,-1.5272916666666674,7.3,21.28,,,,,,,346.25027150046554,138.35562500000003,194.10958333333352,145.55367293564345,0.7127707072680162,156.5857679061219,0.871726359119657,1.1317629327041951,11.032094970478456,0.8835772679094859,0.34125169425795115,0.38621601828365415,6.5,5.0,0.0,0.07724320365673082,0.1268626105370557,0.6343130526852785,False,
1997-05-01,1.7935416666666668,0.07924166666666667,14.118541666666669,,1.666982417930898,13.181216267928267,1.5877407512642316,261.8333333333333,,57.923125,131.11314583333333,12.4173125,,188.98064583333328,,-3.93,8.31,20.87,,,,,,,347.3811071665943,143.53045833333334,192.91064583333332,148.43084145681775,0.7440255964791992,162.48825828785132,0.8672392090282011,1.1320820693715798,14.057416831033585,0.8833281853453445,0.4347653801079695,0.4921900912037516,8.3,6.0,0.0,0.08203168186729193,0.1450899799058338,0.8705398794350028,False,
1997-05-02,1.6418749999999998,0.16429791666666668,18.118375,,2.1332991385766147,16.533536375521688,1.9690012219099475,173.45833333333337,,23.316479166666664,114.01833333333332,29.13645833333333,,171.8695833333334,,0.6537500000000024,11.99,23.76,,,,,,,348.48764584941404,143.15479166666663,171.2158333333334,135.0979651227475,0.8361072038703582,169.62115202295695,0.8640156592207693,1.1848793187301532,34.52318690020949,0.8439678068410459,1.0240692138221208,1.2133984324060785,7.7000003,5.8,0.0,0.20920662627691008,0.16090212211615698,0.9332323082737104,False,
1997-05-03,1.4854166666666664,0.19028333333333328,19.863770833333326,,2.36019417943595,18.17369636821546,2.1699108461026166,188.5,,19.9579375,98.01333333333336,26.383333333333336,,164.91460416666663,,1.3993749999999991,15.61,25.45,,,,,,,349.56986567841363,124.3966666666667,163.51522916666661,116.13397162647145,0.7607650204854776,147.395037652302,0.8608628326975079,1.1848793187301532,31.26106602583054,0.8439678068410459,0.9288612849500928,1.1005885265064803,6.9,5.3,0.0,0.20765821254839256,0.18002417946637125,0.9541281511717676,False,
1997-05-04,1.544166666666667,0.17806874999999994,19.573166666666676,,2.3254607207770883,17.970563263502886,2.1473919707770883,262.625,,24.7125,88.3685416666667,31.62562499999999,,144.38458333333338,,0.9747916666666664,15.35,25.44,,,,,,,350.62775541601724,119.99416666666669,143.40979166666668,104.7060574471772,0.8367222716951858,142.17860645159251,0.8574838287887038,1.1848793187301532,37.472549004415285,0.8439678068410459,1.113112119817327,1.3189035301994307,7.7000003,5.7000003,0.0,0.23138657206727356,0.19548393884678508,1.1142585100718567,False,
1997-05-05,2.4075,0.19874791666666655,19.92354166666666,,2.3989949795356167,18.21590667541118,2.2002470628689488,258.2291666666667,,19.47939583333333,137.238125,37.37875000000001,,175.22604166666665,,-1.2939374999999995,14.71,26.25,,,,,,,351.6613139751638,174.616875,176.51997916666664,164.01873075752815,0.9892187605298219,208.69155860549648,0.8534127056468749,1.1951396942906949,44.67282784796832,0.8367222716951858,1.3160456234510192,1.5728583640838576,9.3,6.7000003,0.0,0.2347549692025921,0.2119704140768776,1.4202018379062042,False,
1997-05-06,2.62375,0.1881229166666666,20.0100625,,2.4136812604229214,18.379536751238327,2.2255583437562545,268.7708333333333,,24.14335416666667,136.10541666666666,36.216875,,181.51416666666665,,-0.4156250000000003,14.37,26.27,,,,,,,352.6705499321393,172.32229166666664,181.92979166666663,162.78464775405806,0.9471911669222216,206.1007139622564,0.8482856507477821,1.196018878166554,43.31606620819831,0.8361072038703582,1.2752440303082395,1.5252159345178558,9.900001,7.0,0.0,0.21788799064540795,0.2197120877876626,1.5379846145136382,False,
1997-05-07,2.1816666666666658,0.1483125,18.090000000000003,,2.1350433017058923,16.657563282839032,1.986730801705893,279.7083333333333,,32.588125,135.0570833333333,30.572104166666673,,185.46208333333337,,-2.0437499999999993,13.84,24.5,,,,,,,353.65548103582535,165.62918749999997,187.50583333333336,163.1785894212823,0.8833281853453445,200.11639905281842,0.8439037991940012,1.2082194091112015,36.93780963153612,0.8276642408315775,1.074499073138054,1.2982306352373936,9.6,7.0,0.0,0.18546151931962765,0.23280129855190096,1.6296090898633069,False,
1997-05-08,1.7064583333333332,0.14979999999999996,19.507291666666664,,2.3248245240275924,18.11922290694168,2.175024524027592,203.91666666666663,,37.49874999999999,128.78918749999997,29.08104166666667,,190.86354166666663,,0.12166666666666374,14.65,25.15,,,,,,,354.6161337145253,157.87022916666663,190.741875,154.0342995537319,0.8276642408315775,188.8157743838134,0.8400280006635839,1.196018878166554,34.781474830081486,0.8361072038703582,1.023486781137463,1.224109511794326,8.2,6.2000003,0.0,0.19743700847793924,0.2398325624349451,1.4869619590464285,False,
1997-05-09,1.2625000000000004,0.17741041666666668,20.879166666666666,,2.506633632717601,19.34141627006378,2.3292232160509347,153.20833333333334,,30.79416666666667,47.39583333333334,37.495625,,107.26083333333334,,-3.286854166666666,16.86,26.69,,,,,,,355.55254258149733,84.89145833333333,110.5476875,56.686311413102295,0.7679170885716928,101.53178676175614,0.8326236612636949,1.196018878166554,44.84547534865379,0.8361072038703582,1.3213755086684775,1.5803900535144322,7.6,6.0,0.0,0.2633983422524054,0.23831665902343696,1.429899954140622,False,
