date,sw_in,ws,LE,Rn,t_avg,wd,rh,lw_in,G,theta_1,H,sw_out,lw_out,t_min,t_max,H_subday_gaps,G_subday_gaps,Rn_subday_gaps,LE_subday_gaps,rso,flux,energy,ebr_corr,ebr_5day_clim,LE_corr,ebc_cf,H_corr,ebr,flux_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2006-10-14,188.16908333333333,1.6395377663124997,,33.258541666666666,12.378348608749995,174.67227067466666,24.50958333333333,237.83750000000006,-5.44288125,2.2947916666666672,,40.23075000000001,352.25208333333336,10.76165981,14.16020873,33,0,0,33,192.905805273594,,38.701422916666665,0.8542857477136726,1.182129854634424,22.264340340803827,1.1705685160688948,,,,,0.7782420423308156,3.2,2.3,0.0,,0.3383661053612242,0.7782420423308156,True,0.7782420423308156
2006-10-15,75.27810416666667,5.466208491506944,18.893067073618067,11.638374999999995,8.520226521583336,,46.8175,300.63333333333327,-2.826291666666668,2.2666666666666666,-1.6267619643587938,15.126375,348.5395833333334,2.986739816,11.30943698,10,0,0,10,190.61738042806752,17.26630510925927,14.464666666666664,1.1936884206982032,1.193534285885618,15.827469502106144,0.8377395496683192,-1.3628028354394863,1.1936884206982032,14.46466666666666,0.6579756098327343,0.5512121910740125,3.8,2.5,8.900001,0.220484876429605,0.3383661053612242,0.8459152634030604,False,
2006-10-16,88.05416666666666,5.105483971201389,26.797753818378464,38.530791666666666,0.10194696710416663,,94.00395833333334,285.8250000000001,-13.060985416666668,4.68395833333333,13.793401086319443,14.430083333333334,320.5854166666666,-1.032850505,2.6283311586666667,3,0,0,3,188.34632679108557,40.5911549046979,51.591777083333334,1.1936884206982032,1.1941093748945553,22.449538215930854,0.8377395496683192,11.555277614447755,0.7867756685165791,34.00481583037861,0.925849171863644,0.7756204682978354,2.4,1.7,1.5,0.4562473342928444,0.3383661053612242,0.5752223791140811,False,
2006-10-17,107.83497916666664,,,38.8395625,,,90.40625,272.62916666666666,-11.973641666666666,6.167916666666666,,21.367291666666674,319.75208333333336,-1.922650239,2.28755864,13,0,0,13,186.09346283286496,,50.81320416666666,1.1936884206982032,1.2012483892565209,19.20476585492482,0.8377395496683192,,,,,0.6762186381279105,2.5,1.7,1.6,,0.3977756694870062,0.6762186381279105,True,0.6762186381279105
2006-10-18,134.96458333333334,5.170448411270834,,23.41604166666665,1.1388914478541663,265.58885893333326,72.68833333333335,236.81041666666667,-9.979270833333333,6.165,,27.857020833333348,319.62499999999994,-1.6730911869999998,3.940455264,2,0,0,2,183.85959743995238,,33.39531249999999,1.1936884206982032,1.2083874036184867,17.25290557910549,0.8377395496683192,,,,,0.5966635042305093,2.1000001,1.5,0.0,,0.3977756694870062,0.5966635042305093,True,0.5966635042305093
2006-10-19,49.79191666666667,,,34.9316875,,,94.43416666666668,327.59791666666666,4.415114583333334,6.287083333333335,,7.461249999999999,334.87500000000006,2.5291265480000003,7.640374411,26,0,0,26,181.6455293122567,,30.51657291666667,1.1936884206982032,1.2155264179804528,17.958813515456665,0.8377395496683192,,,,,0.6323474344625255,1.8000001,1.3000001,2.7,,0.4864210660157068,0.6323474344625255,True,0.6323474344625255
2006-10-20,144.73568749999995,5.1513248586249984,30.547600909750003,17.397291666666664,1.440047630875,249.30456243337503,77.700625,223.05208333333337,-15.383533333333334,6.330833333333332,18.85345932802084,28.27270833333333,320.7541666666668,-1.427552893,5.4101382839999985,2,0,0,2,179.4520463782613,49.40106023777084,32.780825,1.2784917960922653,1.2039717718001457,23.893466507270002,0.7821716205426732,14.746640835433436,1.5070108893772758,38.64010734270343,1.056739537300328,0.8265516763817123,2.2,1.6,0.90000004,0.5165947977385702,0.4741411370322315,0.7586258192515705,False,
2006-10-21,178.70939583333333,1.894296417916666,,23.89833333333334,1.9390665821458333,79.59523690514584,51.335625,201.0770833333333,-12.005104166666662,6.045208333333334,,36.869249999999994,317.875,-1.818985633,4.762125773999999,36,0,0,36,177.27992522971797,,35.9034375,1.3632951714863275,1.1879535390335805,18.682877140501216,0.7335168648105411,,,,,0.6466056912682586,1.9,1.4,0.0,,0.4618612080487562,0.6466056912682586,True,0.6466056912682586
2006-10-22,177.41660416666667,2.602399139520833,,23.124166666666664,7.588856719979166,174.75678534916665,15.418166666666664,215.26666666666665,-7.7681875,5.857708333333335,,37.55158333333333,330.82708333333323,3.943324142,11.64932007,30,0,0,30,175.1299305770847,,30.892354166666664,1.4351530304318016,1.1685306127489872,27.133447483922648,0.6967898048468915,,,,,0.9441207309952178,3.2,2.1000001,0.0,,0.4495812790652809,0.9441207309952178,True,0.9441207309952178
2006-10-23,168.61258333333333,2.207189707875,,22.661041666666694,9.571881279083332,170.24459034152082,26.862916666666674,233.8583333333333,-2.2340833333333348,5.874791666666668,,35.15158333333333,343.7958333333333,8.0972511,12.04521209,35,0,0,35,173.00281472691768,,24.895125000000025,1.4351530304318016,1.1491076864643937,27.08228661978009,0.6967898048468915,,,,,0.9441207309952178,3.2,2.1000001,0.0,,0.4495812790652809,0.9441207309952178,True,0.9441207309952178
