date,lw_in,theta_1,theta_mean,es,sw_out,vpd,H,vp,Rn,rh,theta_2,ws,LE,wd,t_avg,sw_in,t_dew,lw_out,G,t_min,t_max,H_subday_gaps,ppt,LE_subday_gaps,G_subday_gaps,Rn_subday_gaps,rso,flux,energy,flux_corr,ebr,ebr_corr,LE_corr,ebc_cf,ebr_5day_clim,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val,ASCE_ETo
2018-07-02,,,43.28333333333333,3.613780076071549,,0.23167131250000006,4.904909166666665,3.382108763571549,,95.50952083333334,42.74166666666667,1.046535833333333,133.982200625,247.52285000000006,26.933625,,25.51059250351869,,,24.138,36.37300000000001,2.0,0.0,2.0,26.0,26.0,360.6554164908494,138.88710979166666,,161.14466182613884,,0.8618784402645235,155.45370943944116,1.1602564274529072,,5.690952386697682,4.7493296182321645,5.510440215646331,7.5,6.4,0.0,0.861006270864746,1.0182751982709382,6.516961366044295,False,,
2018-07-03,-45.59145833333334,,41.54166666666666,3.7127497193687384,50.29597916666666,0.3625139625000001,0.5097510416666665,3.35023575686874,176.65472916666667,91.08575000000002,41.31875,1.5186702083333332,172.07039916666668,196.2098479166667,27.516937499999994,265.6027916666667,24.987917132896236,-7.571166666666664,11.349247916666668,23.624,32.631,4.0,0.0,4.0,0.0,0.0,360.34842776946135,172.58015020833335,165.30548125,200.63518215029592,1.0440074273600854,0.8601689312847107,200.0425647897673,1.162562333548183,,0.5926173605286169,6.102908078417688,7.095011057075322,8.0,6.8,0.0,1.0433839497155335,0.9441124570775816,6.419964888202715,False,,4.869351083808712
2018-07-04,-59.53416666666666,,41.61145833333333,3.8872346321884512,62.45506250000002,0.4683264583333333,-2.6768013541666664,3.418908173855117,225.30245833333336,90.31000000000002,40.88125,1.189964791666667,183.4942092708333,164.7005520833334,28.16,334.79402083333343,25.69332180076013,-12.985645833333333,15.923195833333331,22.979,36.809,8.0,1.016,8.0,0.0,0.0,360.0180727561978,180.8174079166666,209.37926250000004,210.82524273250806,0.8635879492443364,0.8576648866762366,213.94627682840093,1.1659565589485232,,-3.121034095892913,6.512140870040668,7.592873360220658,7.4,6.6,1.3000001,1.1504353742325342,0.9263400683227274,6.113844362587328,False,,6.37142726838822
2018-07-05,-54.68812500000001,,38.6765625,4.364884405843078,61.08156250000001,0.8579338958333332,,3.506950510009748,227.93247916666667,84.37777083333332,37.165625,1.2202179166666662,,162.33524583333332,29.882854166666664,329.6291458333333,26.07250674162087,-14.549083333333336,15.674147291666669,22.708,36.05,3.0,0.0,3.0,0.0,0.0,359.6643401725215,,212.258331875,,,0.8551608420677627,169.3776659631996,1.1693706619938526,,,,6.021210444097727,7.3,6.5,0.0,,0.9263400683227274,6.021210444097727,True,6.021210444097727,6.164716189996498
2018-07-06,-43.48354166666667,,37.565625,3.556696774665843,41.40427083333334,0.3202437916666667,9.563865625000002,3.236452982999176,113.39564583333332,92.61254166666667,36.55,1.1232560416666668,87.32552312499998,121.423439375,26.63012500000001,191.34285416666665,24.728548067302274,-7.646187500000001,-2.5004041666666663,22.262,34.275,0.0,0.0,0.0,0.0,0.0,359.28721673262214,96.88938874999998,115.89605,112.96881830557571,0.8360025104393116,0.8576648866762366,101.81776645120466,1.1659565589485232,,11.151051854371069,3.0945588322273494,3.60812116748756,5.9,5.0,0.6,0.721624233497512,0.9581833847795012,4.790916923897506,False,,3.817003730227545
2018-07-07,-52.79833333333334,,38.01822916666666,3.0554172818484298,59.65135416666669,0.2294416666666667,20.403858541666654,2.825975615181763,188.34085416666665,93.66599999999998,35.71875,2.3894835416666664,133.17198312499997,95.98033333333336,24.21779166666667,295.0790416666667,22.594507850032514,-6.495583333333332,7.835647499999998,20.329,27.782,0.0,0.0,0.0,0.0,0.0,358.8866872664505,153.57584166666663,180.50520666666665,178.54148886462625,0.850811145576927,0.8601689312847107,154.8207314650392,1.162562333548183,,23.72075739958701,4.708223558214378,5.4736033667042365,7.8,6.4,0.0,0.8552505133033111,0.9673742913189995,6.191195556697599,False,,4.499449582172353
2018-07-08,-49.44437500000001,,37.7390625,3.082553452087572,59.02527083333334,0.0737249375,9.217060000000004,3.0088285145875724,215.2410833333333,98.01820833333332,34.77916666666666,1.9089181249999991,181.10432437499992,154.05731041666667,24.39633333333333,316.52289583333334,23.57351157984056,-7.8941041666666685,13.292549645833335,20.975,28.349,0.0,0.0,0.0,0.0,0.0,358.4627348541388,190.32138437499992,201.9485336875,221.26047274312057,0.942425185762962,0.8601689312847107,210.54506596106688,1.162562333548183,,10.71540678205362,6.403950225171803,7.444991317702142,6.2000003,5.0,0.0,1.4889982635404286,0.9618437254606108,4.8092186273030535,False,,4.886692690438516
2018-07-09,-49.38958333333334,,34.65156249999999,3.6463305526205008,48.53052083333333,0.43984729166666653,4.373118333333331,3.2064832609538345,165.35577083333337,90.96260416666668,33.778125,1.155611666666667,131.4722732291667,195.771125,26.927854166666666,254.11270833333333,24.598266731337127,-9.845770833333333,7.427035416666674,21.969,34.44,10.0,0.254,10.0,0.0,0.0,358.0153409720134,135.84539156250003,157.92873541666668,157.6154887002476,0.8601689312847107,0.8618784402645235,152.54155004598545,1.1602564274529072,,5.073938654262143,4.660332999102644,5.4071813162797255,6.2000003,5.3,0.3,1.0202228531486148,0.9805110803868771,5.196708913068095,False,,4.8025231714272065
2018-07-10,-58.50979166666666,,32.78645833333334,4.208560305574792,57.8708125,0.6695498375000001,11.920809270833335,3.539010468074794,222.40616666666668,87.71104166666667,32.78645833333334,0.7606366666666665,164.15045854166667,231.53421250000008,29.388208333333324,323.62614583333334,26.238861337438923,-15.680583333333335,16.51359166666666,23.845,36.53,11.0,0.0,11.0,0.0,0.0,357.5444856504107,176.0712678125,205.892575,203.88342376311212,0.8551608420677627,0.8635879492443364,190.0796076245655,1.1579596506355003,,13.803816138546605,5.832585702719763,6.753898902622992,7.2000003,6.2000003,0.0,1.0893384824130246,1.084785239794554,6.72566879708578,False,,6.130010932467477
2018-07-11,-64.26541666666667,,31.215625000000006,4.57207754477052,61.729791666666664,1.1706075000000002,8.196082083333332,3.4014700447705195,233.10329166666656,77.668625,31.215625000000006,0.6870987500000001,171.27813062500005,200.77848041666672,30.778625000000005,340.9754791666667,25.308729563560533,-18.606687500000003,19.309661,24.504,36.894,11.0,0.0,11.0,0.0,0.0,357.0501476434728,179.47421270833337,213.79363066666656,208.31983281442064,0.839474086055249,0.8615320504227549,198.80645245984007,1.1607229232032616,,9.513380354580542,6.094073017666083,7.073530247279497,7.4,6.3,0.0,1.1227825449405908,1.144128587493166,7.208010319432156,False,,6.456305368079093
