date,rh,H,sw_out,sw_in,g_2,Rn,theta_1,g_1,wd,lw_in,t_avg,G,lw_out,LE,ws,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2012-08-14,87.20637333333332,,29.89358429166667,172.63617502083332,-3.6160559229166673,122.23602060416664,57.41548270833334,-1.5447023833333338,,401.0898083333333,,-2.580379153125001,420.42955625000013,,,15.4148,22.5212,0,0,12,7.3660000000000005,29,316.93147062714763,,124.81639975729163,1.3060951464159851,0.831611803557093,,133.5309922356816,0.7656410045960808,,,,4.701757178379029,4.8,4.1,9.0,,1.14677004350708,4.701757178379029,True,4.701757178379029
2012-08-15,83.06897,3.7349077083333335,27.749313770833343,173.67458624999998,0.5073303416666649,123.92232291666666,57.04435312500001,0.07377106041666581,,399.1897833333333,19.32146770833334,0.2905507010416659,419.6743729166666,,1.025758333333333,13.6649,25.18,0,0,9,0.0,16,315.2512854065077,,123.631772215625,1.3060951464159851,0.8213994818354401,,146.23845220917053,0.7656410045960808,,4.878144830165817,,5.14583970845247,5.4,4.3,3.2,,1.1967069089424351,5.14583970845247,True,5.14583970845247
2012-08-16,75.2931829166667,-13.949233125,32.17888252083334,193.702512625,4.6947114999999995,136.94875070208334,55.78091624999999,3.417104422916668,,405.1116895833332,21.169954166666667,4.05590796145833,428.60423958333337,113.25960550161585,1.7749127083333336,15.8092,26.4162,0,0,1,0.0,4,313.5465520036761,99.31037237661585,132.892842740625,1.3060951464159851,0.8136089880592773,129.7087953498621,147.92782103064968,0.7656410045960808,0.7472966213119987,-18.219025680787585,3.992476171337772,5.2145537495657415,8.2,6.0,0.0,0.8690922915942901,1.2088534873942158,7.2531209243652945,False,
2012-08-17,71.21120208333339,1.5948889583333334,43.86355335416667,259.46006458333335,-4.629338781250002,181.37724880000007,53.67181583333333,-4.940645697291667,131.24006645833336,388.1986937499999,18.872722916666664,-4.784992239270833,420.8054333333332,144.3535877914798,1.5981410416666666,14.1633,23.1895,0,0,0,0.0,10,311.8176054250163,145.94847674981315,186.1622410392709,1.3060951464159851,0.8035238029521065,190.6225971097372,188.5395203821856,0.7656410045960808,0.7839853878801628,2.0830767275516133,5.077324242862205,6.631468550382543,6.0,4.7000003,0.0,1.41095066533986,1.2088534873942158,5.681611753408861,False,
2012-08-18,64.34140166666667,13.785715208333334,51.77994033333332,301.01251604166674,-14.288595770833336,202.01486170833337,50.655154375,-12.071816808333333,,359.5463104166667,16.113629166666666,-13.180206289583333,404.63470625000014,137.6857902816033,1.0885922916666666,10.5411,21.0537,0,0,11,0.0,14,310.0647929198703,151.47150548993662,215.19506799791668,1.3381567258317588,0.7951731424067131,202.69261384322087,184.24516631678844,0.7472966213119987,0.7038800047750304,18.447447526432413,4.829990314606392,6.463284025192796,6.1,4.8,0.0,1.3465175052484992,1.2088534873942158,5.802496739492236,False,
2012-08-19,69.41130249999999,,46.6291998125,269.11362949999994,-2.2093739166666686,182.52224729166667,47.696771875,-7.2481201812499965,,370.61405208333343,,-4.728747048958332,408.9356229166667,,,10.8681,23.0455,0,0,14,0.0,18,308.2884742198264,,187.250994340625,1.3381567258317588,0.7881489957982493,,144.1932295501216,0.7472966213119987,,,,5.077185009711753,5.2000003,4.2000003,0.0,,1.2088534873942158,5.077185009711753,True,5.077185009711753
2012-08-20,80.07078375,,40.460399291666654,224.27392250000008,1.221973342291669,151.80572764583334,45.80684145833333,-3.3637322354166663,,378.58102916666667,,-1.0708794465625011,409.08805833333315,,,10.9641,21.7247,0,0,6,2.54,16,306.4890217638612,,152.8766070923959,1.3381567258317588,0.7811248491897853,,172.2880155645586,0.7472966213119987,,,,6.066429975294388,5.4,4.4,0.3,,1.3787340852941787,6.066429975294388,True,6.066429975294388
2012-08-21,79.51646041666667,,42.09036422916665,240.20553452083342,-4.906886812499997,170.6278632708334,45.25243583333332,-0.2664512560416664,,388.5178395833332,,-2.586669034270832,414.68489374999984,,,12.1684,23.7,0,0,20,2.54,24,304.66682090826487,,173.21453230510426,1.3381567258317588,0.7770928835259044,,164.4569835281565,0.7472966213119987,,,,5.790691658108193,5.3,4.3,2.4,,1.3466724786298123,5.790691658108193,True,5.790691658108193
2012-08-22,69.77727645833333,,48.94482743750002,281.52095499999996,-1.1579054666666686,193.1594305270833,44.64787729166667,-0.6511129479166647,,383.2190791666666,,-0.9045092072916674,420.92363333333327,,,11.9044,25.5672,0,0,19,0.0,20,302.82227012029153,,194.0639397343749,1.3442076211147496,0.7730609178620234,,171.742164130698,0.7439326963275966,,,,6.04721001104105,5.7000003,4.6,0.0,,1.3146108719654457,6.04721001104105,True,6.04721001104105
2012-08-23,71.35892958333334,,49.71515360416666,279.56890979166667,7.675971770833327,191.9328294583333,43.08617354166668,-0.9126296812499995,,391.0564083333333,,3.3816710447916667,427.33276666666677,,,12.4574,26.7387,0,0,17,0.0,23,300.9557811545187,,188.5511584135416,1.4206967000285986,0.7746532673286969,,211.26323692153701,0.7038800047750304,,,,7.438785738746259,7.7000003,5.8,0.0,,1.2825492653010793,7.438785738746259,True,7.438785738746259
