date,rh,H,sw_in,g_2,vp,theta_1,G,lw_out,g_1,ws,es,LE,wd,sw_out,vpd,Rn,lw_in,t_avg,theta_mean,t_dew,theta_2,t_min,t_max,Rn_subday_gaps,H_subday_gaps,LE_subday_gaps,G_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2013-04-14,87.52416666666666,24.98274305468751,82.98352083333337,-20.500208333333333,0.4056569733538086,33.477083333333354,-17.299687499999994,,-14.099166666666665,5.5740710179583335,0.4642074139996422,,254.12653008541665,27.37520833333333,0.05855044064583335,33.445937499999985,,-3.834126568750001,35.09895833333333,-5.782884163104644,36.72083333333333,-9.792549900000001,-1.4867231,0.0,0.0,17.0,0.0,0.4000597289545415,290.04458286437637,,50.74562499999998,1.2292791816911441,0.7950904191644486,,17.78962482147459,0.8134848575441422,,30.710765938666373,,0.6123472168204941,2.8,1.9,3.1000001,,0.3222880088528917,0.6123472168204941,True,0.6123472168204941
2013-04-15,90.02708333333334,8.040285602041669,186.33645833333324,-11.0953125,0.3291570557923084,33.135416666666664,-9.26086458333333,,-7.4264166666666656,2.9460769964375007,0.3687317129798084,6.702163056625,257.8107561647916,125.71545833333336,0.03957465718749999,37.730125,,-6.9432271312500005,34.74583333333333,-8.61885615684235,36.35625,-11.9718458,-3.5667690999999997,0.0,0.0,0.0,0.0,0.8079101085443415,292.3757718277597,14.742448658666667,46.99098958333333,1.2292791816911441,0.8064957248418578,18.122585223249462,8.238829517808595,0.8134848575441422,0.31372926574620363,9.88375570544087,0.2300264191822229,0.282766688339667,2.1000001,1.7,3.3,0.16633334608215708,0.525185140622991,0.8928147390590847,False,
2013-04-16,88.26749999999998,3.2402187887708336,218.99358333333333,-7.191375,0.34117302927192394,36.3,-6.131739583333332,,-5.072104166666667,2.4903403042708327,0.3922610148760906,3.7807144395416663,199.17029858854164,160.09949999999995,0.051087985604166636,33.86970833333332,,-5.959397160416668,38.19374999999999,-8.03431906536896,40.0875,-7.385853,-4.4608527,0.0,0.0,0.0,0.0,1.11696858204723,294.6853238287877,7.020933228312501,40.001447916666656,1.195430141755056,0.8162178873926859,8.393035204374394,4.519579998396681,0.8365189776224501,0.17551697735889255,3.873455205977713,0.12987857587365426,0.15526076436758726,1.1,0.90000004,0.0,0.17251195274123235,0.5384168344939815,0.4845751725812567,False,
2013-04-17,83.1625,8.618976988375001,193.3733958333333,-7.339020833333333,0.327079392984268,38.566666666666656,-5.700781250000002,,-4.062541666666667,2.930665953875,0.4029257858176013,13.381361697729169,243.4382754945833,116.91439583333336,0.07584639283333333,31.3086875,,-5.712559385416667,40.29791666666667,-8.587736763827799,42.02916666666668,-8.229527000000001,-1.7942348999999997,0.0,0.0,0.0,0.0,1.2341275942094647,296.9725710425632,22.000338686104175,37.00946875,1.2292791816911441,0.8456073354826771,27.04455833698215,16.449429357697724,0.8134848575441422,0.594451620873487,10.59512897928442,0.4597953731754621,0.5652168800825061,1.1,0.90000004,2.2,0.6280187277352856,0.5825196343985392,0.5242676942594706,False,
2013-04-18,55.95333333333333,22.099832371020824,234.95985416666664,9.73922916666667,0.3749161836804306,38.33541666666667,8.485510416666665,,7.231791666666669,4.2986000982083326,0.7445849928470974,71.2720188945,241.74924324458337,41.771958333333345,0.3696688091666666,123.26558333333332,,1.6958283020833331,39.95,-7.241208644647012,41.564583333333346,-8.017016700000001,8.2493616,0.0,0.0,0.0,0.0,2.5195875291539043,299.2368595094711,93.37185126552082,114.78007291666664,1.195430141755056,0.8662951149176074,111.61952539427355,85.20071965022116,0.8365189776224501,0.8134848575441422,26.4188057440524,2.466124120382325,2.9480791068142054,3.7,2.6000001,0.0,1.1338765359332892,0.5825196343985392,1.5145511076881653,False,
2013-04-19,66.20270833333333,18.9846548758125,146.66664583333332,17.289937499999994,0.5919149653344261,38.279166666666654,16.28416666666667,,15.278395833333335,2.4600639261666664,0.911080650709426,43.919777724916656,221.17459732291667,14.774687500000004,0.319165685375,85.47504166666668,,5.288643622916667,40.0875,-1.0170519593832534,41.895833333333336,-1.5762617,8.946969099999999,0.0,0.0,0.0,0.0,1.805130152374202,301.4775491616192,62.90443260072915,69.190875,1.163395260484695,0.8785371336075709,73.18271875116727,51.096061246709326,0.8595530977007579,0.9091434759385416,22.08665750445793,1.5248736952862696,1.7740308299338294,4.3,3.0,2.0,0.5913436099779431,0.7143344779492145,2.143003433847644,False,
2013-04-20,70.22879391250001,18.4687794095,156.51002083333333,4.581541666666666,0.6527499593175597,38.18541666666668,5.6615,,6.741458333333331,4.8140359598958335,0.9823916032133928,63.343540082187516,277.92719373958334,16.81522916666667,0.3296416438958332,94.80735416666664,,6.362532766666665,39.93645833333333,0.59171457937029,41.68749999999999,0.1859039,11.7368339,0.0,0.0,0.0,0.0,2.4116347144733767,303.69401382615285,81.81231949168752,89.14585416666664,1.1307762053752195,0.8907791522975343,92.51142418775555,71.62736788916912,0.8843482868196498,0.9177355498633916,20.8840562985864,2.201500468108481,2.4894043454594783,4.4,3.1000001,1.6,0.8030336339213274,0.8258067036291279,2.5600008638309677,False,
2013-04-21,94.69791666666664,10.407194847541666,176.24458333333337,-18.831041666666668,0.4412120956375704,39.00208333333333,-16.87958333333334,,-14.928124999999996,4.5281370883125005,0.4653091799500706,,288.928048633125,116.21424999999998,0.0240970843125,45.24914583333333,,-3.736355039583332,40.55416666666665,-4.636116570710054,42.10625,-5.6039156,-0.3504025,0.0,0.0,13.0,0.0,1.0034315688479312,305.8856412063217,,62.12872916666667,1.0999363977920689,0.900927160071288,,49.276607031344795,0.9091434759385416,,11.447252411725161,,1.696335292932715,2.6000001,2.0,4.1,,0.8481676464663573,1.696335292932715,True,1.696335292932715
2013-04-22,74.25645833333333,22.612371562124995,318.2821249999999,1.499437499999997,0.3083001586703021,41.064583333333346,2.1372604166666678,,2.775083333333338,2.1972226078124995,0.4417243962119688,38.127241575645826,209.04174094958333,134.70585416666665,0.13342423754166666,103.60439583333331,,-4.5257403020833324,42.51562499999999,-9.531034991349292,43.96666666666669,-8.3046437,-0.9745461999999999,0.0,0.0,0.0,0.0,1.8906572558228059,308.0518328412461,60.739613137770824,101.46713541666666,1.0947632392473676,0.9137664577061698,66.49549562933795,41.74030249092093,0.9134395129009668,0.5986136583865156,24.755193138417017,1.3115471543111243,1.4358336110793135,1.9,1.5,1.3000001,0.9572224073862092,0.7714019839009373,1.157102975851406,False,
2013-04-23,59.79479166666666,36.638631300479176,228.73968749999997,0.008729166666664975,0.3709137267221305,38.09791666666667,1.2084687500000006,,2.408208333333331,3.9722888356666672,0.6668372649512971,67.01253984127085,261.64822621666667,24.67125,0.2959235382291666,121.79574999999998,,0.6265641770833333,39.37708333333335,-7.3979505104111825,40.65625,-7.270216499999999,6.2442696,0.0,0.0,0.0,0.0,2.2474742855530976,310.1920040453953,103.65117114175,120.58728125,1.089638513130339,0.9248531154596656,112.94230800711478,73.01944427372996,0.9177355498633916,0.8595530977007579,39.922863733384816,2.3163974933402764,2.524035920462143,4.2000003,3.0,0.4,0.8413453068207143,0.7369619084600476,2.210885725380143,False,
