date,rh,sw_in,H,Rn,theta_1,wd,t_avg,G,LE,ws,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2017-05-26,51.360029569444464,,80.19313278354693,156.1388337241667,2.250424941666667,153.37925693409434,19.147598336075326,20.53894353652083,,1.001197484429955,8.163595141940618,28.31261606513124,0.0,0.0,4.0,0.0,5.0,352.4279696893521,,135.59989018764583,1.5001749018792463,0.7206287578019768,,93.84744281154177,0.6665889415609574,,120.3037251049469,,3.3017524859276373,6.9,5.6,0.0,,0.5895986582013638,3.3017524859276373,True,3.3017524859276373
2017-05-27,45.87906508333333,,63.90175651340943,159.48099656388612,2.216895655555556,195.68267445116237,21.478622583530573,20.602152880979162,41.73514705166908,0.9880856692559038,10.084345458984387,31.403860529581717,0.0,0.0,5.0,0.0,8.0,353.38243094617997,105.63690356507851,138.87884368290696,1.5001749018792463,0.7354450140300124,158.47383144056909,62.61002013315358,0.6665889415609574,0.7606407193760368,95.86381130741549,1.471629161438376,2.2077011328634533,8.400001,6.5,0.0,0.33964632813283896,0.5183732599795418,3.369426189867021,False,
2017-05-28,43.73919204166666,,,158.98254253939587,2.190221911805556,261.95154091186345,23.201383277698802,22.850470389284727,59.54585883149792,0.9765075324548684,11.916362102932453,33.40401753065322,0.0,0.0,8.0,0.0,6.0,354.29939223497473,,136.13207215011113,1.5001749018792463,0.752398810662936,,89.32920292985787,0.6665889415609574,,,2.103146477685419,3.1550875607994064,6.9,5.8,0.0,0.5439806139309321,0.3694008459397715,2.1425249064506753,False,
2017-05-29,41.97777383901515,,55.005807724084704,154.57391139813828,2.158208164646465,,24.79861405656959,22.17879137929988,54.380873009345216,0.9186504651063072,12.414660980224541,35.01235526869027,0.0,0.0,5.0,0.0,7.0,355.17867122208946,109.38668073342993,132.3951200188384,1.5001749018792463,0.7594835192897122,164.09915303616967,81.58082083090223,0.6665889415609574,0.8262138417025141,82.51833220526746,1.9236858562586892,2.885865240659373,8.8,6.9,0.0,0.4182413392259962,0.3694008459397715,2.548865836984424,False,
2017-05-30,47.42195849999999,,,113.78287816355902,2.1266494597222216,,24.739723151276824,9.423036358902776,53.940294783595675,1.8374968111719407,13.987082116021154,35.87542780897354,0.0,0.0,9.0,0.0,10.0,356.0200936484803,,104.35984180465624,1.31468112937776,0.7567869862749755,,70.91428766506684,0.7606407193760368,,,1.9079920892470748,2.508401194735176,9.400001,7.2000003,0.0,0.34838904030812,0.3694008459397715,2.659686201586609,False,
2017-05-31,63.12109863541668,,24.424415242281782,63.0187953496479,2.1314971236979163,,19.1198375265406,-4.8911707026416655,20.843617149954483,1.676281897490984,13.93979674784356,24.99457216389976,0.0,0.0,2.0,0.0,9.0,356.82349332857615,45.268032392236265,67.90996605228958,1.31468112937776,0.7580797401355904,59.513027950134195,27.402710135019802,0.7606407193760368,0.6665889415609574,32.110317815114385,0.7333031775933723,0.9640598496947548,6.1,4.9,0.0,0.19674690810097034,0.37683947539150464,1.8465134294183732,False,
2017-06-01,58.2369277361111,,25.73200814914581,106.63338826314585,2.166419877777777,211.41215865811103,19.642982794188626,11.425837146201392,,1.4222454034227183,12.092746529473233,25.595206573486394,0.0,0.0,5.0,0.0,7.0,357.58871215898216,,95.20755111694444,1.31468112937776,0.7593724939962051,,51.6696130848081,0.7606407193760368,,33.82938553467674,,1.8187129837647915,6.6,4.9,0.0,,0.3711659150540391,1.8187129837647915,True,1.8187129837647915
2017-06-02,49.441592798611104,,,158.7530278051389,2.155796838888889,160.24123450900638,20.40012467493839,20.335152941264575,,1.4125081565974318,11.195511978149398,28.332133755154075,0.0,0.0,6.0,0.0,3.0,358.31560013623084,,138.41787486387435,1.5001749018792463,0.7617311578734024,,68.91459112156674,0.6665889415609574,,,,2.4274849025559746,7.5,6.0,0.0,,0.4045808170926625,2.4274849025559746,True,2.4274849025559746
2017-06-03,46.89719171527778,,,138.68153651111112,2.1128170909722224,197.6830094722836,22.05117936494256,17.457343815281934,,1.2442321548708322,12.259520840115158,30.57702391560877,0.0,0.0,7.0,0.0,7.0,359.0040153827153,,121.2241926958292,1.4013161684763298,0.7674120873460566,,65.33040033955979,0.7136148304684972,,,,2.3048964541892896,6.8,5.2000003,0.0,,0.4432492925412504,2.3048964541892896,True,2.3048964541892896
2017-06-04,46.34940553472222,,,104.67783826625,2.0738747631944445,201.35310600341282,18.348125821272554,3.3918521240277784,50.409949060114315,2.1594405117968063,10.474978015475813,23.93069364929204,0.0,0.0,12.0,0.0,7.0,359.65382417987007,,101.2859861422222,1.5001749018792463,0.76891932504514,,75.62374038499479,0.6665889415609574,,,1.7721670298797283,2.658560500163457,6.4,5.1,0.0,0.52128637258107,0.5254167540213437,2.6796254455088526,False,
