date,lw_in,sw_in,es,ws,wd,Rn,t_dew,H,sw_out,lw_out,vp,LE,vpd,rh,G,t_avg,t_min,t_max,LE_subday_gaps,H_subday_gaps,Rn_subday_gaps,G_subday_gaps,ASCE_ETo,rso,flux,energy,flux_corr,ebr_5day_clim,LE_corr,H_corr,ebc_cf,ebr,ebr_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2016-05-30,346.25054229166665,340.34992916666664,2.80580615773574,3.535653062500001,259.6213391874999,201.7137952083333,13.712656208812765,58.06340262499999,51.254418750000006,433.63225749999987,1.603700043152407,116.46285062500004,1.202106114583333,60.91970833333332,3.2687856249999987,21.89039583333333,14.008401999999998,32.005946,0,0,0,0,7.119015593292696,357.8725408859944,174.52625325000002,198.44500958333333,190.45667975781552,0.8906069475533755,127.09335949242313,63.36332026539236,1.0912781098038926,0.8794690963327598,0.9163566931436976,4.1082437334805935,4.483236456086389,10.400001,7.8,0.0,0.5747739046264602,0.6283474241035775,4.9011099080079035,False,
2016-05-31,351.7628377083333,350.20598125000015,3.2935154369850297,2.964327958333333,255.94233825000003,203.28384104166665,13.681492597145455,48.29185714583334,53.89517291666666,444.789805,1.6002811661516965,137.5685486041667,1.6932342708333337,50.99789583333333,4.155326041666666,24.54115175,15.556898,34.385976,0,0,0,0,7.632799486346341,358.38869420052293,185.86040575000004,199.128515,202.82539227424456,0.8898204409622582,150.12554568921996,52.6998465850246,1.0912781098038926,0.9333691146644669,0.9163566931436976,4.865181646012426,5.309266230513032,10.5,7.9,0.0,0.6720590165206369,0.6447759417155703,5.093729939553006,False,
2016-06-01,329.78472760416656,356.2412770833334,2.5915313524755685,4.572692875,266.2261311666666,200.63704020833333,13.368355834153668,71.5158415625,56.89883125000001,428.4901332291665,1.5643721920589018,112.93387452083334,1.0271591604166668,62.23229166666667,2.5676125,21.015524458333328,15.090527,29.344483,0,0,0,0,7.115275260797695,358.87757177482973,184.44971608333333,198.0694277083333,199.17288886860047,0.8889510090310434,121.94849911981449,77.22438974878597,1.079822149352701,0.931237688811543,0.9260784293037976,3.9804018216582513,4.298126050350419,10.400001,7.7000003,0.0,0.5581981666092167,0.6200550128247465,4.774423784767052,False,
2016-06-02,350.29511922916663,353.03769583333326,3.029892540027284,3.4573014166666654,261.86831529166665,212.08455750000002,13.166083671809197,45.26621783333334,54.12948958333335,437.1187679791667,1.5418079004439509,133.31657902083336,1.4880846395833327,57.13818749999998,4.783726770833332,22.97059408333333,13.883371,33.483375,0,0,0,0,7.696870961204053,359.33919354709536,178.58279685416667,207.30083072916665,192.83765953648305,0.8876901665497524,143.95819490262548,48.87946463385757,1.079822149352701,0.8614668654535237,0.9260784293037976,4.70766326468877,5.083439064904981,10.0,7.6,0.0,0.668873561171708,0.6422714510769749,4.88126302818501,False,
2016-06-03,360.55240074999983,338.90772124999995,3.6812905665634656,1.7437591458333337,223.58809466666665,202.05221625,12.506240954890552,18.92448302083333,50.30491458333335,447.10299116666647,1.4851494936467986,164.20461337499995,2.1961410729166664,44.15066666666666,4.305361770833333,26.376523270833346,16.553176999999998,36.713373,0,0,0,0,7.091280262777565,359.77358054522455,183.12909639583333,197.74685447916667,197.74685447916667,0.8858113789103936,177.3117785482217,20.43507593094494,1.079822149352701,0.9260784293037976,0.9260784293037976,5.817498253991914,6.2818634684811325,10.7,8.0,0.0,0.7852329335601416,0.6660849980891385,5.3286799847131086,False,
2016-06-04,365.85820141666665,196.853340625,3.1021738304511395,2.232833020833333,235.00730679166668,96.63544520833332,13.740915219414156,-13.705909291666664,34.274504166666674,431.8015926666668,1.605648774201141,104.50332647916667,1.49652505625,51.42700000000002,1.6263704166666664,24.147253875,16.654318,31.216096000000004,0,0,0,0,4.970908899430535,360.18075471903813,90.79741718750005,95.00907479166663,98.04506218308016,0.8838993358862975,112.8450066132408,-14.799944430160652,1.079822149352701,0.9556709965505734,0.9260784293037976,3.694406918258885,3.9893024190577986,10.1,7.5,0.0,0.5319069892077064,0.6672272045394722,5.004204034046041,False,
2016-06-05,337.71314012499994,354.40859375000014,2.705329158750366,4.626042854166667,254.72793502083337,209.17093187500006,13.413500151593066,43.595025375,54.16917083333333,428.7816311666668,1.5656334025003664,151.03392170833334,1.1396957562500003,62.82170833333336,3.862920416666667,21.39103970833333,14.91152,31.911598,0,0,0,0,7.8900714568677595,360.5607387833042,194.62894708333332,205.3080114583334,213.821506018682,0.8823831344209153,165.92753073753337,47.893975281148656,1.098611019701664,0.9479851550889559,0.9102402780117366,5.325179938651242,5.8503013624964835,11.400001,8.3,0.0,0.7048555858429498,0.6966009752530095,5.781788094599979,False,
2016-06-06,349.17011460416666,343.3944308333332,2.3083886034990897,5.4046563124999984,255.0417586875,221.29942291666663,14.424922760764993,81.22622683333331,51.30520979166668,419.9599127291668,1.6760713618324228,128.497604125,0.6323172416666666,73.26852083333334,3.2877004166666666,19.402909125,14.971544,25.24075,0,0,0,0,5.633947344528718,360.9135560713266,209.7238309583333,218.01172250000002,230.40491178487397,0.8806141873955172,141.16888389698696,89.23602788788695,1.098611019701664,0.9619841931129796,0.9102402780117366,4.521928734755845,4.967840738308373,8.8,6.7000003,0.0,0.7414687337116049,0.6916224772141569,4.633870804821595,False,
2016-06-07,354.35278616666665,339.87459041666665,2.2359152721162068,5.9911785,254.28111443750004,227.0596927083334,14.453036763116126,87.53159339583333,49.64133354166666,417.52635033333326,1.6803986137828741,114.38966954166663,0.5555166583333334,75.6275625,3.5489088541666667,18.918187416666672,15.423697,25.356175,0,0,0,0,5.770166809602377,361.23923039878684,201.9212629375,223.51078385416676,221.8329245752146,0.8782157329780403,125.66975149850674,96.16317307670788,1.098611019701664,0.9034072515679904,0.9102402780117366,4.023584254666137,4.420354000874323,8.5,6.5,0.0,0.6800544616729728,0.6727950408378026,4.373167765445717,False,
2016-06-08,347.0244088333332,337.21481125,2.199188848573061,6.413822354166666,252.76548902083343,217.7845160416666,12.940582965302632,78.81972056250002,51.66689458333333,414.78780945833336,1.5166156027397282,124.5568963958333,0.6825732458333333,70.0499375,-0.09790239583333256,18.655742833333328,15.118619,24.844817000000006,0,0,0,0,6.083218496002665,361.5377859375239,203.37661695833333,217.88241843749992,223.43179254006932,0.8762830956911389,136.83957896030097,86.59221357976836,1.098611019701664,0.9334237173279422,0.9102402780117366,4.38010510709405,4.812031738105062,8.5,6.3,0.0,0.7638145616039781,0.7148039163810066,4.5032646732003405,False,
