date,rh,es,H,sw_in,vpd,t_dew,vp,theta_2,Rn,theta_1,ws,t_avg,theta_mean,G,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2004-02-04,84.6919166666667,0.7669295685924187,76.42062499999999,183.9629375,0.014427083333333328,2.627413640830914,0.7525024852590853,0.15747916666666664,98.46614583333336,0.10372916666666672,1.830625,3.0220625,0.13060416666666672,-2.4059375000000007,35.14114583333333,,0.46,6.897,0.0,0.0,4.0,0.0,4.0,1.1904023089338263,197.8446108002932,111.56177083333333,100.87208333333336,0.8048895677600229,1.14941204213041,89.79490550458439,28.284741680383593,1.2424064617745785,1.10597270470439,61.510163824200795,1.2174657044544397,0.979925444620986,2.9,2.0,0.0,0.4899627223104929,0.3499364518625174,0.6998729037250347,False,
2004-02-05,39.54541666666668,0.8926109224757739,62.26752083333333,205.88597916666663,0.054350000000000016,4.110379710091949,0.8382609224757737,0.1440833333333333,76.261875,0.09516666666666668,2.484375,5.155916666666668,0.11962500000000002,-4.776312500000002,37.67553125,,2.17,9.77,0.0,0.0,7.0,0.0,7.0,1.5093367723719495,199.4506005670641,99.94305208333333,81.0381875,0.8048895677600229,1.1529003692798,80.44311999197163,30.32464206294173,1.2424064617745785,1.2332834083108448,50.11847792902989,1.3079117415426926,1.0527245163185568,3.8,2.6000001,0.0,0.4048940291650592,0.3362506549293704,0.8742517364414285,False,
2004-02-06,25.13022916666667,0.9690934242606524,50.62766666666666,207.33347916666665,0.07436458333333335,4.997022014098355,0.8947288409273187,0.1359375,70.98541666666667,0.08877083333333335,2.216354166666666,6.296437500000002,0.11235416666666667,-3.905250000000002,23.82547916666667,,2.498,11.07,0.0,0.0,7.0,0.0,7.0,1.5876120028781955,201.0806781726104,74.45314583333334,74.89066666666666,0.8108436335567349,1.149603945675408,60.36985929722948,19.31873809873029,1.2332834083108448,0.9941578723650478,41.05112119849919,0.8280009476722271,0.6713792969989686,3.7,2.5,0.0,0.26855171879958745,0.3362506549293704,0.8406266373234259,False,
2004-02-07,17.156875,1.1844197022921594,85.95237499999998,213.05633333333333,0.09498124999999998,7.869897066463184,1.0894384522921594,0.13077083333333328,79.09389583333336,0.08397916666666666,2.2237500000000003,9.285541666666663,0.10737500000000004,-2.6503958333333317,25.91995833333333,,4.674,13.17,0.0,0.0,5.0,0.0,5.0,1.7249205585551104,202.73416161393013,111.8723333333333,81.7442916666667,0.8048895677600229,1.1447099488012895,90.04487402097185,20.862704059274467,1.2424064617745785,1.3685644716272227,69.18216996169738,0.903354170942316,0.7271003481839747,3.8,2.6000001,0.0,0.2796539693148376,0.3362506549293704,0.8742517364414285,False,
2004-02-08,23.40458333333333,0.9660002951291411,72.205125,208.96127083333337,0.07397916666666665,5.033083906435082,0.8920211284624743,0.12560416666666666,72.99895833333336,0.0795208333333333,2.9150000000000014,6.3390625000000025,0.1025625,-3.604833333333333,23.66678125,,3.646,10.2,0.0,0.0,3.0,0.0,3.0,1.5801971046897791,204.4103563662889,95.87190625,76.6037916666667,0.8108436335567349,1.1412498432643294,77.73712481976065,19.190058903342408,1.2332834083108448,1.2515295152383117,58.54706591641824,0.8225190536845791,0.6669343381592513,4.2000003,2.8,0.0,0.2381908350568755,0.29782263808408976,0.8339033866354513,False,
2004-02-09,25.15395833333332,0.9062246713090056,,210.5740833333334,0.06834375000000001,4.141174522149655,0.8378809213090056,0.1207291666666667,75.52141666666664,0.07566666666666662,,5.412083333333333,0.09819791666666666,-4.825375,,,2.5580000000000003,9.06,0.0,0.0,13.0,0.0,13.0,,206.108555779832,,80.34679166666662,0.8549726508663715,1.1361970370683383,,20.38259568446969,1.1696280565076176,,,,0.7077568708541699,4.0,2.7,0.0,,0.2621321743904333,0.7077568708541699,True,0.7077568708541699
2004-02-10,31.74333333333334,0.8810024703456215,,215.38966666666667,0.06329375,3.662010707827694,0.8177087203456211,0.11702083333333335,77.29229166666667,0.07275000000000005,,4.8605625,0.09488541666666662,-3.391083333333333,,,0.8909999999999999,9.83,0.0,0.0,15.0,0.0,15.0,,207.8280414989288,,80.683375,0.8423882480520737,1.128161299597377,,20.738601811073988,1.1871010811373324,,,,0.719742024554279,4.7000003,3.1000001,0.0,,0.2321748391409017,0.719742024554279,True,0.719742024554279
2004-02-11,17.011875000000003,1.13400135051135,,220.53270833333335,0.09371458333333332,7.135185713758927,1.0402867671780172,0.11406250000000005,75.24427083333336,0.0703125,,8.572416666666665,0.0921875,-1.6043749999999974,,,4.2780000000000005,13.31,0.0,0.0,10.0,0.0,10.0,,209.56808390385285,,76.84864583333336,0.8423882480520737,1.1202284409521228,,17.134266517033033,1.1871010811373324,,,,0.5967527347361425,4.4,2.9,0.0,,0.20577680508142845,0.5967527347361425,True,0.5967527347361425
2004-02-12,22.99166666666667,0.9079906730179048,,224.76362500000005,0.07047708333333334,4.154967508740927,0.8375135896845712,0.11081250000000002,79.32791666666667,0.06766666666666664,,5.469729166666666,0.08923958333333336,-3.1722083333333337,,,2.786,8.65,0.0,0.0,11.0,0.0,11.0,,211.32794257433133,,82.50012499999998,0.8263149961169927,1.113117624732452,,16.418616250616672,1.2101922447240887,,,,0.5701444650539896,4.6,3.0,0.0,,0.19004815501799652,0.5701444650539896,True,0.5701444650539896
2004-02-13,12.533124999999998,0.9206519496008784,59.96208333333335,204.78691666666663,0.08168958333333333,4.017280793060628,0.8389623662675451,0.1074375,75.35812499999999,0.06522916666666667,2.0038541666666667,5.495979166666667,0.08633333333333333,-2.9367708333333344,15.270166666666665,,1.043,10.78,0.0,0.0,10.0,0.0,10.0,1.59221840155282,213.1068667744247,75.23225000000002,78.29489583333333,0.8423882480520737,1.1167965256786048,63.37476327451563,12.863408945796506,1.1871010811373324,0.9608831993358444,50.51135432871912,0.5302772013503539,0.44669928262748143,3.6000001000000004,2.5,0.0,0.17867971305099256,0.19004815501799652,0.4751203875449914,False,
