date,rh,sw_in,H,sw_out,Rn,theta_1,ws,lw_in,t_avg,G,lw_out,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2018-02-16,65.83339859895831,92.7306875,-6.322207499166668,54.07889583333334,-8.9805625,,2.477131194854167,235.62291666666678,-4.5317499151875005,,282.2729166666667,15.195706497666668,283.02406933125013,-7.377097654,-1.692214361,0.0,48.0,0.0,0.0,0.0,171.33105609571345,8.8734989985,,1.5507464612580897,0.6448507380044061,13.760547170901079,23.564688077573148,0.6448507380044061,,-9.804140906672066,0.5227174116557379,0.8106021763631238,1.5,1.1,0.0,0.7369110694210216,0.5354552403762783,0.5890007644139063,False,
2018-02-17,70.29002934729166,117.30110416666668,-20.619848161791673,55.86522916666667,18.231375000000003,,2.9869855366250007,266.86249999999995,1.1602591315624995,,309.37708333333325,21.723827833562503,253.16194548583331,-2.762309901,5.327721441,0.0,48.0,0.0,0.0,0.0,173.46432466520946,1.1039796717708368,,1.5478238409048255,0.6460683532406509,1.7087660558411848,33.62465863649987,0.6460683532406509,,-31.915892580658692,0.7512982046950658,1.1628772728560166,2.9,1.9,7.7000003,0.6120406699242193,0.5610400735155874,1.065976139679616,False,
2018-02-18,77.72119814625,91.529625,7.387253380833338,42.5675,-1.1704583333333352,,5.053215921125,235.00000000000009,-5.6210292723125,,284.2458333333332,13.234428609208331,303.93839969791674,-10.91649914,1.807765424,0.0,48.0,1.0,1.7000000000000002,2.0,175.62135507538372,20.621681990041672,,1.5491064940272607,0.6455334115863581,31.945181488538555,20.501539303264803,0.6455334115863581,,11.44364218527376,0.4547857084969236,0.7045114944233732,1.6,1.1,0.0,0.6404649949303393,0.5444616706181473,0.5989078376799621,False,
2018-02-19,79.10083513958331,101.4878125,18.51370229518751,56.27985416666667,2.048208333333334,,4.027948067208334,215.2958333333333,-12.393966924791664,,257.27916666666664,6.664771951166668,304.1265105708333,-17.69702652,-10.61292,0.0,48.0,0.0,0.0,4.0,177.80138884850322,25.178474246354174,,1.5228947490094649,0.6566441972765545,38.344166217842826,10.149746207777287,0.6566441972765545,,28.194420010065542,0.2275796977146945,0.3465799266308697,0.7,0.5,0.0,0.6931598532617393,0.5765751676832167,0.28828758384160835,False,
2018-02-20,57.491018103333346,179.49379166666665,12.888157860208333,66.12545833333333,29.19289583333334,,2.3584903818125,162.06041666666667,-14.434285274583333,,245.06875,5.642243365541668,243.04773982916663,-18.06103034,-10.10860131,0.0,48.0,0.0,0.0,0.0,180.00365360122655,18.53040122575,,1.5264541565770875,0.6551130249744247,28.28580797408725,8.612625837750574,0.6551130249744247,,19.673182136336674,0.19229766013325866,0.2935335626104609,0.90000004,0.7,0.0,0.419333660872087,0.5445079873356558,0.381155591134959,False,
2018-02-21,63.430283612083336,80.73883333333335,3.1334239836597244,41.99697916666667,-0.11485416666666715,,2.0661651826250003,233.66666666666669,-8.9090417808125,,271.88958333333323,6.780309535354168,170.415839436875,-10.47968936,-7.27897623,0.0,48.0,2.0,2.5,3.0,182.22736356175628,9.913733519013892,,1.5392645682339212,0.6496608969225819,15.259858744731073,10.436690229429274,0.6496608969225819,,4.8231685153017985,0.2322802493271995,0.3575407576898993,1.4,1.0,1.9,0.3575407576898993,0.5276248166885149,0.5276248166885149,False,
2018-02-22,84.6990097608333,153.32077083333334,,97.48520833333332,35.87627083333334,,1.6914697082500003,244.28124999999991,-10.420071646666663,,263.95416666666665,,261.35451286458346,-12.3909505,-8.131639,0.0,48.0,13.0,13.6,18.0,184.47172011206948,,,1.555015699598492,0.6430803240495911,,8.903163446919816,0.6430803240495911,,,,0.3045742702258659,0.8,0.7,2.2,,0.4351061003226656,0.3045742702258659,True,0.3045742702258659
2018-02-23,76.03577720187498,182.81768750000003,-9.118111666166667,99.5306666666667,40.01441666666665,,2.22922812075,212.64791666666667,-12.600500438375006,,255.29583333333323,,264.03834893541665,-16.71588,-9.816459332,0.0,48.0,0.0,0.0,12.0,186.73591235404461,,,1.5622194957470776,0.6401149151718815,,7.157620248045856,0.6401149151718815,,-14.244491809284437,,0.24436172787341534,0.90000004,0.7,0.0,,0.3490881826763077,0.24436172787341534,True,0.24436172787341534
2018-02-24,81.99657474583331,80.27937500000002,-12.599327324895832,61.81054166666667,-14.792916666666665,,4.035451799791666,238.74166666666667,-8.663571327583332,,271.15833333333336,,275.899833675,-10.30953897,-6.120436042000001,0.0,48.0,0.0,7.5,2.0,189.01911769824486,,,1.5694903474323658,0.6371495062941718,,7.326083804047758,0.6371495062941718,,-19.77452262056486,,0.25103510394297385,1.6,1.1,4.8,,0.2282137308572489,0.25103510394297385,True,0.25103510394297385
2018-02-25,81.4346939547917,97.465625,-15.109353684708331,72.62464583333332,-10.557645833333334,,2.7363333225416664,243.17500000000007,-7.026234714166669,,277.90000000000003,5.497549984770834,233.14091316458337,-10.93439339,-3.791699277,0.0,48.0,0.0,6.9,0.0,191.32050247406826,-9.611803699937497,,1.5764689150592288,0.6343290314496492,-15.152709750602744,8.666716659975556,0.6343290314496492,,-23.819426410578302,0.18866793983214167,0.2974291424136363,1.5,1.1,6.3,0.27039012946694196,0.2196521846744733,0.24161740314192065,False,
2018-02-26,86.08353143541666,138.878,1.1941620159270838,101.42277083333332,4.555749999999995,,3.4651372674999994,239.82083333333344,-8.277726311729166,,272.025,,311.6552235125,-11.65142872,-4.178634201,0.0,48.0,1.0,11.1,14.0,193.63922255992642,,,1.5835098187359726,0.6315085566051267,,5.126323452492655,0.6315085566051267,,1.8909672773820805,,0.17572174773957866,1.0,0.8,2.6000001,,0.2196521846744733,0.17572174773957866,True,0.17572174773957866
