date,H,sw_out,sw_in,LE,theta_1,ws,rh,wd,G,Rn,t_avg,t_min,t_max,LE_subday_gaps,H_subday_gaps,Rn_subday_gaps,G_subday_gaps,rso,flux,energy,flux_corr,ebr_5day_clim,LE_corr,H_corr,ebc_cf,ebr,ebr_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2006-03-28,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,294.4629551046172,,,,0.9270176078910776,,,1.0787281616742468,,0.9270176078910776,,,3.1000001,2.2,1.5,,,,False,
2006-03-29,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,296.2971237366515,,,,0.9269561571887042,,,1.0787996737977608,,0.9269561571887042,,,2.4,1.9,4.0,,,,False,
2006-03-30,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,298.11619942674236,,,,0.9268947064863304,,,1.0788711954034096,,0.9268947064863304,,,3.7,3.1000001,0.0,,,,False,
2006-03-31,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,299.9196318151513,,,,0.9260630789402148,,,1.0798400484170028,,0.9260630789402148,,,4.2000003,3.0,0.0,,,,False,
2006-04-01,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,301.70688731866863,,,,0.9252314513940988,,,1.0808106431025917,,0.9252314513940988,,,4.5,3.4,0.0,,,,False,
2006-04-02,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,303.4774493511263,,,,0.9243998238479828,,,1.0817829841608122,,0.9243998238479828,,,5.5,4.2000003,0.0,,,,False,
2006-04-03,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,305.23081851518936,,,,0.9235208868349024,,,1.0828125430137343,,0.9235208868349024,,,5.5,3.9,0.0,,,,False,
2006-04-04,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,306.96651276525574,,,,0.922641949821822,,,1.0838440634453237,,0.922641949821822,,,4.0,2.9,7.9,,,,False,
2006-04-05,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,308.68406754136527,,,,0.9205946676065296,,,1.086254390979602,,0.9205946676065296,,,3.0,2.2,18.800001,,,,False,
2006-04-06,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,310.38303587408575,,,,0.9188996959357272,,,1.0882580595281266,,0.9188996959357272,,,4.6,3.6000001000000004,0.0,,,,False,
2006-04-07,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,312.06298846042097,,,,0.9174220057761135,,,1.0900109150466994,,0.9174220057761135,,,5.2000003,4.0,0.0,,,,False,
2006-04-08,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,313.72351371084966,,,,0.9153569806545409,,,1.0924699555849058,,0.9153569806545409,,,6.1,4.6,0.0,,,,False,
2006-04-09,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,315.3642177676775,,,,0.9126776094980408,,,1.0956771477608451,,0.9126776094980408,,,7.6,5.3,0.0,,,,False,
2006-04-10,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,316.9847244949557,,,,0.9096916866449184,,,1.0992735392450956,,0.9096916866449184,,,5.0,3.8,0.0,,,,False,
2006-04-11,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,318.58467544028,,,,0.9073201098267232,,,1.102146848911986,,0.9073201098267232,,,4.7000003,3.7,0.4,,,,False,
2006-04-12,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,320.1637297688603,,,,0.9047413572191104,,,1.1052882594796871,,0.9047413572191104,,,7.0,5.1,0.0,,,,False,
2006-04-13,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,321.7215641703084,,,,0.90207797111381,,,1.1085516241631352,,0.90207797111381,,,8.1,5.8,0.0,,,,False,
2006-04-14,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,323.25787273865984,,,,0.8994618944754741,,,1.1117758363550856,,0.8994618944754741,,,6.4,4.4,4.8,,,,False,
2006-04-15,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,324.7723668262093,,,,0.8968458178371381,,,1.1150188584383791,,0.8968458178371381,,,4.7000003,3.8,1.2,,,,False,
2006-04-16,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,326.26477487178863,,,,0.8936844480472009,,,1.1189631890597516,,0.8936844480472009,,,6.0,4.5,0.0,,,,False,
2006-04-17,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,327.73484220419107,,,,0.8905230782572638,,,1.1229355245424748,,0.8905230782572638,,,6.0,4.6,0.0,,,,False,
2006-04-18,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,329.18233082148424,,,,0.8887230362766502,,,1.1252099463850405,,0.8887230362766502,,,7.9,5.6,0.0,,,,False,
2006-04-19,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,330.60701914701764,,,,0.8881246752929229,,,1.125968040095472,,0.8881246752929229,,,7.8,5.7000003,0.0,,,,False,
2006-04-20,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,332.0087017629756,,,,0.8875263143091956,,,1.1267271560036485,,0.8875263143091956,,,8.2,6.0,0.0,,,,False,
2006-04-21,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,333.38718912237675,,,,0.8872345050220907,,,1.1270977338455763,,0.8872345050220907,,,8.5,5.9,0.0,,,,False,
2006-04-22,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,334.74230724046123,,,,0.8877779935056922,,,1.126407736298082,,0.8877779935056922,,,5.7000003,4.3,0.0,,,,False,
2006-04-23,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,336.0738973664516,,,,0.8885286577787114,,,1.1254561023388518,,0.8885286577787114,,,5.2000003,3.9,0.5,,,,False,
2006-04-24,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,337.38181563671014,,,,0.8885286577787116,,,1.1254561023388514,,0.8885286577787116,,,5.7000003,4.5,0.0,,,,False,
2006-04-25,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,338.6659327103452,,,,0.8885286577787116,,,1.1254561023388514,,0.8885286577787116,,,6.3,4.9,0.0,,,,False,
2006-04-26,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,339.92613338835724,,,,0.88837661571201,,,1.125648719601345,,0.88837661571201,,,5.6,4.3,0.0,,,,False,
2006-04-27,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,341.1623162174342,,,,0.8863180378038508,,,1.1282631711725446,,0.8863180378038508,,,5.3,4.2000003,0.0,,,,False,
2006-04-28,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,342.3743930795352,,,,0.8842594598956918,,,1.1308897957596755,,0.8842594598956918,,,6.3,5.0,0.0,,,,False,
2006-04-29,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,343.56228876841686,,,,0.8802476654104684,,,1.136043910475684,,0.8802476654104684,,,7.0,5.6,0.0,,,,False,
2006-04-30,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,344.7259405542733,,,,0.8762358709252452,,,1.1412452208148798,,0.8762358709252452,,,7.7000003,6.0,0.0,,,,False,
2006-05-01,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,345.8652977376728,,,,0.872224076440022,,,1.146494378006045,,0.872224076440022,,,8.400001,6.4,0.0,,,,False,
2006-05-02,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,346.98032119398033,,,,0.8690591404860217,,,1.15066967645119,,0.8690591404860217,,,8.900001,6.6,0.0,,,,False,
2006-05-03,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,348.07098290946004,,,,0.8642120482300921,,,1.1571234190127315,,0.8642120482300921,,,8.900001,6.5,0.0,,,,False,
2006-05-04,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,349.13726551025115,,,,0.8591885442158205,,,1.163888888803444,,0.8591885442158205,,,7.3,5.4,0.0,,,,False,
