date,rh,H,sw_in,theta_3,g_2,vp,theta_1,G,g_1,ws,es,theta_4,LE,sw_out,wd,vpd,Rn,t_avg,theta_mean,t_dew,theta_2,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2014-02-06,48.20833333333336,50.070109354166654,,6.8166666666666735,,0.2859503120527018,4.1125,-1.7583452708333331,-1.7583452708333331,1.7356097916666664,0.6112704833860353,19.050000000000004,1.8310991875,,167.84606312500003,0.3253201713333333,60.78725000000003,-0.26339147916666644,9.721875000000002,-10.229626789565724,8.908333333333337,-4.75051,3.86162,0.0,0.0,0.0,0.0,0.0,,205.33993049078686,51.90120854166665,62.54559527083336,1.3261323707900452,0.7984282126776274,68.82787273022893,2.4282799066711007,0.7540725360653466,0.8298139671854644,66.39959282355784,0.06324176002341686,0.08386694515278892,1.7,1.3000001,0.0,0.06451302977037379,0.030354357862949526,0.039460668257270175,False,
2014-02-07,41.277291666666656,65.23238635416668,,6.814583333333334,,0.4040113620449916,4.266666666666667,5.9615318624999984,5.9615318624999984,3.9723024791666655,1.015286415403325,19.0,1.3551008749999989,,201.00234791666665,0.6112750533583334,94.26535416666668,6.7771414583333325,9.766666666666666,-5.868581579778952,8.985416666666676,1.63415,12.4647,0.0,0.0,0.0,0.0,0.0,,206.9752022767989,66.58748722916668,88.30382230416667,1.3261323707900452,0.8017942949852744,88.30382230416667,1.7970431360234131,0.7540725360653466,0.7540725360653466,86.50677916814325,0.04711499185181612,0.062480715844202575,3.3,2.3,0.0,0.02716552862791417,0.02852775337430177,0.06561383276089408,False,
2014-02-08,33.325416666666676,48.07466877083331,,6.864583333333332,,0.415120535917704,4.277083333333334,7.115144875000002,7.115144875000002,2.9369033333333334,1.2731714152072875,19.0,4.0087621875,,193.4856541666668,0.8580508792895835,81.26102083333333,10.152692708333333,9.80052083333333,-6.013200683185487,9.060416666666667,4.1342,16.2675,0.0,0.0,0.0,0.0,0.0,,208.63258421828274,52.08343095833331,74.14587595833333,1.3261323707900452,0.8025444174051654,69.06952377565419,5.316149303642862,0.7540725360653466,0.7024454197237061,63.75337447201133,0.13982758543914076,0.1854298873802553,4.5,3.0,0.0,0.06180996246008511,0.03496156373577914,0.10488469120733744,False,
2014-02-09,27.296458333333344,55.25906625000001,,6.918750000000002,,0.4441081171198356,4.329166666666667,9.996354793749996,9.996354793749996,3.6108114583333317,1.6148456258469193,19.075000000000014,1.9786139375,,193.82877916666675,1.1707375087270833,88.4424791666667,13.741628958333333,9.878125,-4.775218393807255,9.18958333333333,7.89718,21.0036,0.0,0.0,0.0,0.0,0.0,,210.31136327230428,57.23768018750001,78.4461243729167,1.3276575538125044,0.805532298058203,75.9920384636387,2.6269217402005767,0.7532062745610852,0.7296431869011639,73.36511672343813,0.0692519202434293,0.09194283502720997,4.6,3.2,0.0,0.02873213594600312,0.050680005484657,0.16217601755090238,False,
2014-02-10,26.825625,52.48465516666666,,7.0,,0.4865024032438681,4.2541666666666655,5.709309735416667,5.709309735416667,4.703985020833335,1.7313557627167846,19.179166666666685,2.4934029166666667,,180.65634583333332,1.2448533594729163,78.86775000000004,14.94283125,9.926041666666665,-4.393836808701544,9.270833333333325,10.1832,20.802,0.0,0.0,0.0,0.0,0.0,,212.01081509979343,54.97805808333333,73.15844026458338,1.3306843278038851,0.8097491979853174,73.15844026458338,3.317932184108831,0.7514930318976288,0.7514930318976288,69.84050808047455,0.0873700234202036,0.11626192088512335,5.8,3.9,0.0,0.029810748944903417,0.04735206604072354,0.1846730575588218,False,
2014-02-11,37.346875,63.4359778125,,7.037500000000003,,0.4579118679859028,4.164583333333333,1.7285698333333341,1.7285698333333341,2.8642041666666667,1.2344606388400696,19.27708333333332,2.8089324166666665,,168.47396875,0.7765487708541664,85.46933333333334,9.923161458333334,9.943749999999998,-4.416255248700824,9.295833333333324,4.69083,13.2941,0.0,0.0,0.0,0.0,0.0,,213.7302045235886,66.24491022916666,83.74076350000001,1.3306843278038851,0.8167148333086054,88.15106383872738,3.737802344718627,0.7514930318976288,0.7910712472685618,84.41326149400875,0.09795550564258576,0.13034785618069394,3.5,2.5,0.0,0.052139142472277585,0.048426144452858665,0.12106536113214665,False,
2014-02-12,28.305354166666678,53.091881833333304,,7.022916666666667,,0.3591816081842347,4.06875,3.0342547083333304,3.0342547083333304,2.3141649375,1.3078603055113178,19.299999999999983,5.657254833333332,,190.87519166666664,0.9486786973270834,81.4963125,10.66582645833333,9.90208333333333,-11.791963845586247,9.216666666666667,6.22887,15.8729,0.0,0.0,0.0,0.0,0.0,,215.46878600760425,58.749136666666644,78.46205779166667,1.3306843278038851,0.8215578109820334,78.17655543434189,7.528020345109447,0.7514930318976288,0.7487585505679446,70.64853508923244,0.19742437481742373,0.2627095214960258,4.2000003,2.9,0.0,0.09058949017104337,0.045305501610591666,0.13138595467071584,False,
2014-02-13,19.221666666666668,57.86604704166664,,7.010416666666669,,0.38055137757060425,4.091666666666666,7.4554035416666675,7.4554035416666675,2.6595673541666662,1.7483423321914373,19.299999999999983,3.346707250000001,,192.06245208333328,1.367790954620833,88.72497916666669,14.98812645833334,9.911979166666667,-8.589589245490961,9.245833333333326,9.12645,21.019,0.0,0.0,0.0,0.0,0.0,,217.22580415656543,61.21275429166664,81.26957562500002,1.3355440138099055,0.8226015361143968,81.75232756305199,4.469674833711713,0.7487585505679446,0.7532062745610852,77.28265272934027,0.11727529927821882,0.1566263239187903,5.8,3.8,0.0,0.04121745366283956,0.04641073160207235,0.17636078008787492,False,
2014-02-14,15.754583333333334,49.98994000000002,,7.058333333333337,,0.4018918246396733,4.079166666666667,7.673313208333332,7.673313208333332,2.620088270833334,2.0769515561563394,19.30416666666665,2.8563938125000004,,161.55429166666661,1.6750597315166669,79.03056250000003,17.85430416666666,9.9421875,-7.383182083673361,9.327083333333327,12.7602,22.3264,0.0,0.0,0.0,0.0,0.0,,219.0004942356926,52.84633381250002,71.3572492916667,1.3477031895052285,0.8212316719909922,71.22117263276427,3.8495710515892494,0.7420031411865413,0.7405881579949237,67.371601581175,0.10036920840842872,0.13526790230015434,5.9,3.9,0.0,0.03468407751286009,0.0470386652246542,0.18345079437615136,False,
2014-02-15,13.384666666666664,50.55152058333335,,7.112499999999998,,0.3308989997118286,4.052083333333333,9.588624408333336,9.588624408333336,3.4932907291666666,2.2069752136368286,19.399999999999984,3.198075104166666,,162.22329791666672,1.8760762139250002,85.68235416666666,18.751085416666665,9.988541666666668,,9.389583333333334,10.8211,24.6877,0.0,0.0,0.0,0.0,0.0,,220.79208270965225,53.74959568750002,76.09372975833331,1.3502781393472596,0.8210863953841329,72.576904055585,4.318290901146959,0.7405881579949237,0.7063603776316891,68.25861315443805,0.11247220355462212,0.1518687577440214,5.7000003,3.8,0.0,0.03996546256421616,0.04479854113012021,0.1702344562944568,False,
