date,lw_in,theta_2,sw_in,t_avg,es,ws,wd,theta_mean,Rn,t_dew,H,sw_out,lw_out,vp,LE,theta_1,vpd,rh,G,t_min,t_max,LE_subday_gaps,H_subday_gaps,Rn_subday_gaps,ppt,G_subday_gaps,ASCE_ETo,rso,flux,energy,flux_corr,ebr_5day_clim,LE_corr,H_corr,ebc_cf,ebr,ebr_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2008-04-19,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,307.1607291929675,,,,0.7369093089440489,74.54752584861289,,1.4753399093575046,,0.677809902421395,,2.624891487142349,8.6,5.8,0.0,,0.4525674977831636,2.624891487142349,True,2.624891487142349
2008-04-20,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,309.13851042327116,,,,0.7376056567212927,70.99154759808548,,1.3557379758244639,,0.7376056567212927,,2.499682005915194,8.2,5.6,0.0,,0.4463717867705704,2.499682005915194,True,2.499682005915194
2008-04-21,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,311.09133314564184,,,,0.7379688259406391,55.00485075420139,,1.3550707900504708,,0.7379688259406391,,1.9367747333350995,6.3,4.4,0.0,,0.4401760757579771,1.9367747333350995,True,1.9367747333350995
2008-04-22,,,,,,,,,,,,,,,,,,,,0.5,20.6,47.0,47.0,0.0,,0.0,,313.0187244381015,,,,0.7383036145698738,61.62571408593334,,1.378102350098836,,0.7256355088054826,,2.1699018237269194,7.2000003,5.0,0.0,,0.4339803647453839,2.1699018237269194,True,2.1699018237269194
2008-04-23,321.7708333333333,19.841791666666666,203.54166666666663,13.516666666666667,1.6732101709831848,5.4575000000000005,138.16666666666666,16.653499999999998,104.95833333333331,12.44779543787711,,35.875,384.58333333333326,1.5870414209831842,,13.465208333333335,0.08616875000000003,49.13958333333333,9.375,4.8,23.8,48.0,48.0,0.0,4.8,0.0,2.808133947046344,314.9202254948199,,95.58333333333331,,0.7393263081774911,57.45737264948834,,1.3353049518725153,,0.7488926020963879,,2.0105880008795123,6.7000003,4.7000003,5.1,,0.4277846537327906,2.0105880008795123,True,2.0105880008795123
2008-04-24,,,,,,,,,,,,,,,,,,,,0.0,7.4,43.0,43.0,0.0,,0.0,,316.79539146586427,,,,0.7411241060729765,41.906282471503246,,1.3353049518725153,,0.7488926020963879,,1.4755612995206908,4.6,3.5,1.0,,0.42158894272019737,1.4755612995206908,True,1.4755612995206908
2008-04-25,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,318.64379128004407,,,,0.7395144654966207,31.852612628108908,,1.378102350098836,,0.7256355088054826,,1.1215617256105312,3.7,2.7,0.0,,0.4153932317076041,1.1215617256105312,True,1.1215617256105312
2008-04-26,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,320.4650074520099,,,,0.7375716463623675,37.75124459627722,,1.378102350098836,,0.7256355088054826,,1.3292583414643333,4.7000003,3.2,0.0,,0.4153932317076041,1.3292583414643333,True,1.3292583414643333
2008-04-27,249.04166666666663,18.491666666666667,378.83333333333326,8.8125,1.1715437933286177,7.796458333333335,275.9375,16.364687499999995,281.4791666666667,7.580768656175794,145.14583333333334,83.64583333333333,371.39583333333326,1.0893667099952842,44.5625,14.237708333333332,0.08217708333333333,32.675000000000004,20.041666666666668,-0.6,14.8,0.0,0.0,0.0,0.0,0.0,2.279958549228067,322.2586358748176,189.70833333333331,261.4375,261.4375,0.7366663081449757,61.41168597627938,200.02581402372059,1.378102350098836,0.7256355088054826,0.7256355088054826,1.5523787595318603,2.1393368167543723,6.3,4.4,0.0,0.4862129128987209,0.3970291528786184,1.7469282726659208,False,
2008-04-28,258.1875,18.139583333333334,274.875,6.231249999999998,1.049478097101398,2.7785416666666682,140.60416666666666,15.90013541666667,127.08333333333331,5.291796874542976,62.91666666666666,47.72916666666666,358.16666666666674,0.9896655971013978,29.5,13.660687499999995,0.05981250000000001,51.24585416666668,7.395833333333332,-5.4,15.6,0.0,0.0,0.0,0.0,0.0,2.255956672652294,324.0242855991885,92.41666666666666,119.6875,127.35962552163409,0.7344002140428543,40.654019327915655,86.70560619371841,1.378102350098836,0.7721496953872932,0.7256355088054826,1.0251426949647726,1.4127515571176072,5.8,4.1,0.0,0.3445735505164896,0.3970291528786184,1.627819526802335,False,
