date,rh,es,H,sw_in,vpd,t_dew,vp,Rn,theta_1,ws,t_avg,G,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2002-05-12,31.33749999999999,1.7062474731809023,81.96333333333331,301.28250000000014,0.12483958333333335,12.650374327110882,1.5814078898475687,194.9572916666667,14.731395833333329,0.7669791666666664,14.0191875,7.575208333333332,39.94708333333333,229.2795416666667,2.389,22.23,0.0,0.0,0.0,0.0,0.0,3.7441521246256357,347.69475584386396,121.91041666666663,187.38208333333336,1.1180168122693572,0.7825543998363055,136.29789542409577,44.66151076779169,0.8944409323954565,0.650598042769119,91.63638465630406,1.3985279076909438,1.563577713226363,6.9,5.3,0.0,0.2950146628728987,0.3348991876439494,1.7749656945129315,False,
2002-05-13,62.10708333333334,1.06966701883451,52.3491875,147.6291666666667,0.043472916666666674,6.944429337780813,1.0261941021678438,33.74145833333333,14.783749999999996,2.0891875,7.700479166666665,-2.009125000000001,24.104166666666675,256.79583333333335,2.9330000000000003,12.42,0.0,0.0,0.0,0.0,0.0,1.673754187067242,349.07494282606393,76.45335416666667,35.750583333333346,1.0135323646376513,0.7879495006826797,77.48794883302149,24.43035303928673,0.9866483152291944,2.1385204670320057,53.05759579373478,0.8388045437481182,0.8501555526938365,4.4,3.2,0.0,0.2656736102168239,0.3145493343465344,1.0065578699089102,False,
2002-05-14,60.28083333333336,1.0523968760366864,105.72208333333334,298.40902083333333,0.04794166666666669,6.353636638288393,1.00445520937002,177.34862499999988,14.604708333333326,0.7813333333333334,7.142500000000003,4.540729166666663,32.91020833333332,236.34062499999996,0.818,14.4,0.0,0.0,0.0,0.0,0.0,3.1928750770345493,350.42191391727965,138.63229166666667,172.80789583333322,1.0135323646376513,0.7938247025993942,140.50831438805324,33.35556127280106,0.9866483152291944,0.8022335495617189,107.15275311525215,1.1446399721525773,1.1601296576345772,4.3,3.5,0.0,0.33146561646702194,0.3340752026947128,1.1692632094314948,False,
2002-05-15,42.01541666666667,1.1149601582986142,120.50458333333336,320.63495833333326,0.06958125,7.044257467800581,1.045378908298614,161.6655625,14.389416666666666,1.1080625,8.119124999999999,3.872041666666669,40.041041666666665,260.45099999999996,2.276,13.61,0.0,0.0,0.0,0.0,0.0,3.323670267493979,351.7354345437625,160.54562500000003,157.79352083333333,1.0135323646376513,0.7994361629629616,162.71818693847965,40.58289164297139,0.9866483152291944,1.0174411734533355,122.13529529550827,1.3939492069513766,1.4128126359062076,5.1,4.1,0.0,0.3445884477820019,0.3371043928158716,1.3821280105450735,False,
2002-05-16,39.33625,1.354406921320624,95.86375,289.6412916666667,0.08833750000000001,9.394465151912486,1.2660694213206238,171.9189583333333,14.083583333333342,1.0311666666666666,10.561166666666663,6.131875,36.05375,226.92,1.051,18.81,0.0,0.0,0.0,0.0,0.0,3.337870891961007,353.01527900687597,131.9175,165.78708333333333,1.0135323646376513,0.8049715990345646,133.7026557120873,36.54164249155471,0.9866483152291944,0.7957043295994612,97.16101322053265,1.258062244907011,1.2750868019419543,5.1,4.1,0.0,0.3109967809614523,0.3354947780275479,1.3755285899129464,False,
2002-05-17,43.92875,1.3200440406061709,113.32729166666662,308.3388958333333,0.07974166666666667,9.564535575572416,1.2403023739395043,170.36645833333333,13.66414583333333,1.4460625000000007,10.651249999999996,8.057041666666667,46.81502083333336,245.81718750000005,4.534,16.7,0.0,0.0,0.0,0.0,0.0,3.4678422550823416,354.2612302477553,160.14231249999997,162.30941666666666,1.0735628875625454,0.8073884844652653,171.92284342844346,50.25886894713407,0.9314778031033047,0.9866483152291944,121.66397448130941,1.6337071636589222,1.7538873800492885,4.6,3.9,0.0,0.4497147128331509,0.3504215887322137,1.3666441960556333,False,
2002-05-18,50.13275,1.258152130033633,61.53543749999998,195.0765208333333,0.06537708333333334,9.148837310734127,1.1927750467002995,101.31610416666666,13.580875000000008,0.8802500000000001,10.120791666666667,4.044687499999998,39.64312500000001,264.58899999999994,6.527,14.23,0.0,0.0,0.0,0.0,0.0,2.433523765825921,355.47307962105657,101.17856249999998,97.27141666666668,1.1004054811669324,0.8068479148435117,111.33744475159102,43.623512040585844,0.9087559241703732,1.04016746097903,67.71393271100517,1.3827295417468073,1.5215631667096272,5.3,4.2000003,0.0,0.3622769185777504,0.4083876392732289,1.715228207463853,False,
2002-05-19,65.78999999999998,1.1217738089281035,31.924812500000005,116.66764583333334,0.040289583333333344,7.7621477096844655,1.0814842255947703,57.74075000000001,13.570708333333338,0.6558125,8.468812499999999,0.10981250000000052,25.91812500000001,209.82427083333332,5.301,13.73,0.0,0.0,0.0,0.0,0.0,1.6777691464547708,356.6506266784807,57.84293750000001,57.63093750000001,1.0374235650620232,0.806608574761372,60.0076264349098,26.888073637223158,0.9639264362962628,1.003678579755882,33.119552797686644,0.902588217006914,0.9363662858702876,4.3,3.3,0.0,0.28374735935463263,0.4210598933266429,1.3894976479779215,False,
2002-05-20,66.29979166666666,0.9960417070897704,89.63729166666668,241.2974583333333,0.038914583333333336,5.858141005010562,0.9571271237564366,130.79516666666663,13.49112500000001,1.1310416666666665,6.545791666666666,2.8666250000000004,39.925,228.537875,1.704,13.35,0.0,0.0,0.0,1.2000000000000002,0.0,2.661858329545881,357.79367896268326,129.56229166666668,127.92854166666665,1.0135323646376513,0.8053842770212363,131.3155758407897,40.465279658158224,0.9866483152291944,1.0127708014076873,90.85029618263151,1.3878322317520857,1.4066128835680405,4.8,3.8,1.6,0.3701612851494843,0.4284810826247175,1.6282281139739263,False,
2002-05-21,74.26687500000001,0.8605274913299801,127.7922916666667,302.3827708333333,0.023033333333333333,4.153265062824174,0.8374941579966468,99.34691666666667,13.470312500000004,2.1613125,4.692833333333334,1.203041666666665,57.08627083333334,217.18145833333335,2.211,7.84,0.0,0.0,0.0,0.0,0.0,2.611852414461275,358.9020518120812,184.87856250000004,98.143875,1.0048600584352734,0.8057049610104582,185.77708311717942,57.3637134454352,0.9951634474925382,1.8837503868682588,128.4133696717442,1.9808882868582665,1.9905155196861462,3.5,2.7,0.5,0.7372279702541281,0.4127139281935776,1.1143276061226597,False,
