date,rh,H,sw_out,sw_in,LE,g_2,theta_2,Rn,theta_1,wd,lw_in,t_avg,theta_mean,G,lw_out,g_1,ws,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2017-03-10,,,,,,,,,,,,,,,,,,,,,,,,,196.32253085821938,,,1.124548893426768,0.88924546175379,,,0.88924546175379,,,,,4.2000003,2.9,0.0,,,,False,
2017-03-11,,,,,,,,,,,,,,,,,,,,,,,,,198.8110828211894,,,1.1279454919878682,0.8865676640434286,,,0.8865676640434286,,,,,2.0,1.5,1.2,,,,False,
2017-03-12,,,,,,,,,,,,,,,,,,,,,,,,,201.3074544858736,,,1.1306775797524131,0.8844254258751393,,,0.8844254258751393,,,,,2.7,2.0,0.0,,,,False,
2017-03-13,,,,,,,,,,,,,,,,,,,,,,,,,203.81073795757493,,,1.132922788213973,0.8826726855556302,,,0.8826726855556302,,,,,1.9,1.4,4.7000003,,,,False,
2017-03-14,,,,,,,,,,,,,,,,,,,,,,,,,206.3200232390141,,,1.1440716452621398,0.8740711336927428,,,0.8740711336927428,,,,,3.3,2.2,1.4,,,,False,
2017-03-15,,,,,,,,,,,,,,,,,,,,,,,,,208.83439896759867,,,1.1583780836374036,0.8632760012688748,,,0.8632760012688748,,,,,1.9,1.4,0.7,,,,False,
2017-03-16,,,,,,,,,,,,,,,,,,,,,,,,,211.35295314808982,,,1.1733743231811191,0.8522429545662065,,,0.8522429545662065,,,,,3.6000001000000004,2.6000001,0.0,,,,False,
2017-03-17,,,,,,,,,,,,,,,,,,,,,,,,,213.87477387914657,,,1.181018996377865,0.8467264312148725,,,0.8467264312148725,,,,,2.1000001,1.6,0.5,,,,False,
2017-03-18,,,,,,,,,,,,,,,,,,,,,,,,,216.3989500722607,,,1.1877653546501974,0.8419171312624326,,,0.8419171312624326,,,,,3.4,2.3,0.0,,,,False,
2017-03-19,,,,,,,,,,,,,,,,,,,,,,,,,218.92457216162373,,,1.1921336781467755,0.8388321027508795,,,0.8388321027508795,,,,,2.9,2.2,0.0,,,,False,
2017-03-20,,,,,,,,,,,,,,,,,,,,,,,,,221.45073280350468,,,1.196534251597796,0.8357470742393264,,,0.8357470742393264,,,,,3.4,2.3,0.5,,,,False,
2017-03-21,,,,,,,,,,,,,,,,,,,,,,,,,223.97652756375498,,,1.2009674334633185,0.8326620457277731,,,0.8326620457277731,,,,,1.6,1.3000001,2.7,,,,False,
2017-03-22,,,,,,,,,,,,,,,,,,,,,,,,,226.5010555920992,,,1.2054335875355633,0.8295770172162201,,,0.8295770172162201,,,,,2.7,2.1000001,0.0,,,,False,
2017-03-23,,,,,,,,,,,,,,,,,,,,,,,,,229.02342028191882,,,1.209933083038429,0.8264919887046669,,,0.8264919887046669,,,,,3.4,2.5,1.8000001,,,,False,
2017-03-24,,,,,,,,,,,,,,,,,,,,,,,,,231.54272991428107,,,1.2144662947292426,0.8234069601931139,,,0.8234069601931139,,,,,2.4,1.8000001,7.8,,,,False,
2017-03-25,,,,,,,,,,,,,,,,,,,,,,,,,234.05809828502186,,,1.2144662947292426,0.8234069601931139,,,0.8234069601931139,,,,,3.7,2.7,0.0,,,,False,
2017-03-26,,,,,,,,,,,,,,,,,,,,,,,,,236.5686453137439,,,1.2126757979957306,0.8246227076130044,,,0.8246227076130044,,,,,2.0,1.6,1.7,,,,False,
2017-03-27,,,,,,,,,,,,,,,,,,,,,,,,,239.07349763365346,,,1.2102048416980562,0.8263063950371289,,,0.8263063950371289,,,,,4.0,2.9,0.0,,,,False,
2017-03-28,,,,,,,,,,,,,,,,,,,,,,,,,241.57178916121663,,,1.2031388377331789,0.8311592715966923,,,0.8311592715966923,,,,,3.3,2.3,2.9,,,,False,
2017-03-29,,,,,,,,,,,,,,,,,,,,,,,,,244.06266164468602,,,1.1971676095295132,0.8353049247573613,,,0.8353049247573613,,,,,2.8,2.1000001,1.2,,,,False,
2017-03-30,,,,,,,,,,,,,,,,,,,,,,,,,246.54526519060929,,,1.1930401471673002,0.8381947601464662,,,0.8381947601464662,,,,,4.8,3.4,0.0,,,,False,
2017-03-31,,,,,,,,,,,,,,,,,,,,,,,,,249.0187587675077,,,1.1889410474379658,0.8410845955355711,,,0.8410845955355711,,,,,3.4,2.7,0.0,,,,False,
2017-04-01,,,,,,,,,,,,,,,,,,,,,,,,,251.48231068597926,,,1.1848700189937968,0.8439744309246762,,,0.8439744309246762,,,,,4.1,2.9,0.0,,,,False,
2017-04-02,,,,,,,,,,,,,,,,,,,,,,,,,253.93509905455863,,,1.1810489685381829,0.8467049433502555,,,0.8467049433502555,,,,,4.8,3.4,0.0,,,,False,
2017-04-03,,,,,,,,,,,,,,,,,,,,,,,,,256.37631221074025,,,1.1770317156183714,0.8495947787393604,,,0.8495947787393604,,,,,3.9,2.9,0.0,,,,False,
2017-04-04,,,,,,,,,,,,,,,,,,,,,,,,,258.80514912664944,,,1.17304169884913,0.8524846141284652,,,0.8524846141284652,,,,,3.9,2.9,0.0,,,,False,
2017-04-05,,,,,,,,,,,,,,,,,,,,,,,,,261.2208197889285,,,1.1690786421829624,0.8553744495175702,,,0.8553744495175702,,,,,4.1,2.9,0.0,,,,False,
2017-04-06,,,,,,,,,,,,,,,,,,,,,,,,,263.62254555247995,,,1.1651422732902563,0.8582642849066752,,,0.8582642849066752,,,,,3.6000001000000004,2.7,6.7000003,,,,False,
2017-04-07,,,,,,,,,,,,,,,,,,,,,,,,,266.0095594677973,,,1.1602248096314718,0.8619019277114366,,,0.8619019277114366,,,,,4.6,3.2,0.5,,,,False,
2017-04-08,,,,,,,,,,,,,,,,,,,,,,,,,268.3811065816914,,,1.1598088313036792,0.8622110584172336,,,0.8622110584172336,,,,,4.4,3.1000001,0.0,,,,False,
2017-04-09,,,,,,,,,,,,,,,,,,,,,,,,,270.7364442113084,,,1.1593931511524995,0.8625201891230302,,,0.8625201891230302,,,,,4.1,3.0,1.1,,,,False,
2017-04-10,,,,,,,,,,,,,,,,,,,,,,,,,273.0748421914161,,,1.159821630906893,0.8622015431959787,,,0.8622015431959787,,,,,4.7000003,3.3,0.0,,,,False,
2017-04-11,,,,,,,,,,,,,,,,,,,,,,,,,275.39558309502064,,,1.1602504274869918,0.8618828972689273,,,0.8618828972689273,,,,,4.8,3.5,2.0,,,,False,
2017-04-12,,,,,,,,,,,,,,,,,,,,,,,,,277.69796242745946,,,1.1606795412443265,0.861564251341876,,,0.861564251341876,,,,,2.4,2.0,9.8,,,,False,
2017-04-13,,,,,,,,,,,,,,,,,,,,,,,,,279.98128879420034,,,1.1580414791616849,0.8635269271390069,,,0.8635269271390069,,,,,4.3,3.2,0.5,,,,False,
2017-04-14,,,,,,,,,,,,,,,,,,,,,,,,,282.24488404265793,,,1.1556281146565794,0.8653302799726122,,,0.8653302799726122,,,,,4.5,3.3,0.0,,,,False,
2017-04-15,,,,,,,,,,,,,,,,,,,,,,,,,284.48808337842416,,,1.1504095730705282,0.8692556315668741,,,0.8692556315668741,,,,,3.9,3.1000001,0.0,,,,False,
2017-04-16,,,,,,,,,,,,,,,,,,,,,,,,,286.7102354563837,,,1.1509642113442755,0.8688367458724403,,,0.8688367458724403,,,,,5.8,4.2000003,4.2000003,,,,False,
2017-04-17,,,,,,,,,,,,,,,,,,,,,,,,,288.91070244727183,,,1.151519384683109,0.8684178601780063,,,0.8684178601780063,,,,,4.3,3.2,3.1000001,,,,False,
2017-04-18,,,,,,,,,,,,,,,,,,,,,,,,,291.08886008030487,,,1.1496344282953586,0.8698417300208799,,,0.8698417300208799,,,,,4.4,3.4,0.0,,,,False,
2017-04-19,,,,,,,,,,,,,,,,,,,,,,,,,293.2440976625887,,,1.1508493760529828,0.8689234410758909,,,0.8689234410758909,,,,,4.4,3.5,1.1,,,,False,
2017-04-20,,,,,,,,,,,,,,,,,,,,,,,,,295.3758180760855,,,1.1520668944706811,0.8680051521309025,,,0.8680051521309025,,,,,5.3,3.9,0.0,,,,False,
2017-04-21,,,,,,,,,,,,,,,,,,,,,,,,,297.4834377529868,,,1.154152842173155,0.8664363708684366,,,0.8664363708684366,,,,,5.1,4.0,0.0,,,,False,
2017-04-22,,,,,,,,,,,,,,,,,,,,,,,,,299.5663866304096,,,1.1562463572667754,0.8648675896059707,,,0.8648675896059707,,,,,5.4,3.8,0.0,,,,False,
2017-04-23,,,,,,,,,,,,,,,,,,,,,,,,,301.6241080853943,,,1.158347481005791,0.8632988083435048,,,0.8632988083435048,,,,,5.0,3.7,0.4,,,,False,
2017-04-24,,,,,,,,,,,,,,,,,,,,,,,,,303.65605885124364,,,1.1633209172719503,0.8596080283203823,,,0.8596080283203823,,,,,3.0,2.3,0.0,,,,False,
2017-04-25,,,,,,,,,,,,,,,,,,,,,,,,,305.6617089162973,,,1.168337245206093,0.8559172482972599,,,0.8559172482972599,,,,,5.4,4.0,0.0,,,,False,
2017-04-26,,,,,,,,,,,,,,,,,,,,,,,,,307.6405414062897,,,1.1778597915139717,0.8489974844243915,,,0.8489974844243915,,,,,4.5,3.3,0.4,,,,False,
2017-04-27,,,,,,,,,,,,,,,,,,,,,,,,,309.5920524514836,,,1.1799007082208983,0.8475289429293081,,,0.8475289429293081,,,,,5.8,4.2000003,0.0,,,,False,
2017-04-28,,,,,,,,,,,,,,,,,,,,,,,,,311.5157510398152,,,1.1850497471578123,0.8438464312560463,,,0.8438464312560463,,,,,5.3,4.2000003,0.0,,,,False,
2017-04-29,,,,,,,,,,,,,,,,,,,,,,,,,313.411158857325,,,1.1912871888213186,0.8394281491345662,,,0.8394281491345662,,,,,5.1,3.8,0.0,,,,False,
2017-04-30,,,,,,,,,,,,,,,,,,,,,,,,,315.27781011717497,,,1.1924375602484938,0.8386183338535634,,,0.8386183338535634,,,,,6.0,4.3,0.0,,,,False,
2017-05-01,,,,,,,,,,,,,,,,,,,,,,,,,317.1152513785865,,,1.1935901555450614,0.8378085185725606,,,0.8378085185725606,,,,,3.7,2.8,0.0,,,,False,
2017-05-02,,,,,,,,,,,,,,,,,,,,,,,,,318.9230413570463,,,1.1933521960544065,0.8379755811455419,,,0.8379755811455419,,,,,4.5,3.7,0.0,,,,False,
2017-05-03,,,,,,,,,,,,,,,,,,,,,,,,,320.70075072714394,,,1.1965134398103503,0.8357616109673636,,,0.8357616109673636,,,,,5.0,3.9,0.0,,,,False,
