date,rh,H,sw_in,t_dew,vp,theta_1,lw_out,LE,wd,es,ws,sw_out,vpd,Rn,lw_in,t_avg,theta_mean,G,theta_2,t_min,t_max,Rn_subday_gaps,H_subday_gaps,LE_subday_gaps,G_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2013-02-07,74.71895833333333,,112.62302083333334,3.098194855220733,0.7765198783741137,53.52277083333339,350.41975,,,1.0776032117074472,,14.890229166666673,0.3010833333333334,56.39891666666666,309.08535416666666,7.846395833333332,52.47878124999998,-5.993166666666666,51.434791666666705,3.955,12.84,0,17,24,0,,171.7965980192943,,62.39208333333333,,,,48.69706585626252,,,,,1.694851737553863,2.1000001,1.5,0.5,,1.129901158369242,1.694851737553863,True,1.694851737553863
2013-02-08,64.78729166666669,,136.00602083333334,0.02399846010563304,0.6284055732040814,53.54579166666667,348.62879166666664,,,1.0385514065374146,,19.047708333333336,0.4101458333333333,63.35493750000001,295.0691458333333,7.200541666666665,52.494302083333366,-7.648166666666668,51.442812500000066,2.94,13.08,0,32,35,0,,173.51379616227138,,71.00310416666669,,,,58.56048709627166,,,,,2.036886900375236,2.6000001,1.8000001,0.0,,1.1316037706749211,2.036886900375236,True,2.036886900375236
2013-02-09,51.796875,,168.6510625,-2.5365135672963066,0.5174442031226905,53.475,346.53381249999984,,,1.065652536456024,,24.56702083333333,0.5482083333333332,79.10533333333333,281.55452083333324,7.549666666666666,52.48421874999997,-8.31675,51.49343750000001,2.292,13.54,0,42,42,0,,175.25573670988624,,87.42208333333333,,,,58.6291354686629,,,,,2.03995160269572,2.6000001,1.8000001,0.0,,1.1333063829806007,2.03995160269572,True,2.03995160269572
2013-02-10,69.52312499999998,,167.54885416666662,0.5361439871718865,0.6450206130344822,53.51835416666668,344.0246458333333,,,1.0312706130344818,,23.46093750000001,0.38625000000000015,91.63314583333334,291.62052083333333,6.578666666666666,52.52654166666661,-4.3568541666666665,51.53472916666667,-1.473,15.32,0,36,36,0,,177.02176851559398,,95.99,,,,48.97618531552281,,,,,1.70251349292942,2.1000001,1.5,0.0,,1.13500899528628,1.70251349292942,True,1.70251349292942
2013-02-11,59.00833333333333,,170.10402083333338,-0.5965532418901169,0.5954384770086529,53.45652083333332,349.83343749999983,,,1.1080009770086532,,24.056875,0.5125624999999999,85.75204166666668,289.5377708333333,7.8149375,52.47561458333332,-2.159104166666668,51.49470833333336,0.943,15.67,0,41,41,0,,178.81122699576056,,87.91114583333334,,,,58.79046551736225,,,,,2.046081007336688,2.5,1.8000001,0.0,,1.1367116075919594,2.046081007336688,True,2.046081007336688
2013-02-12,69.82916666666665,,165.86789583333336,1.1155768936252315,0.6721241382898029,53.428875,348.93356249999994,,,1.0844783049564697,,23.243354166666673,0.4123541666666668,91.98862499999996,298.29716666666667,7.2326875,52.44395833333334,-1.6127083333333336,51.45904166666664,-0.309,15.81,0,42,42,0,,180.62343448181468,,93.60133333333329,0.9739197725349272,1.0267786199649598,,49.09260374351106,1.0267786199649598,,,,1.7076213298464582,2.0,1.5,0.0,,1.1384142198976388,1.7076213298464582,True,1.7076213298464582
2013-02-13,72.50020833333333,,168.08739583333332,3.0885710571528384,0.7740882080371496,53.37839583333332,356.3501666666668,,,1.1953173747038166,,23.491520833333336,0.4212291666666668,95.37495833333328,307.12889583333333,8.687833333333334,52.38654166666666,0.8697916666666666,51.39468750000002,1.131,17.69,0,39,39,0,,182.45770059770902,,94.5051666666666,1.0094503640398933,0.9906381092359291,,49.09802343665492,0.9906381092359291,,,,1.7101752483049772,1.8000001,1.5,0.0,,1.1401168322033182,1.7101752483049772,True,1.7101752483049772
2013-02-14,71.54127083333333,,172.91039583333333,3.8955768500039127,0.8209262035906756,53.29704166666666,362.09060416666665,,,1.3041137035906758,,24.8211875,0.4831875,96.46722916666666,310.4682499999999,9.804041666666668,52.3006041666667,2.058895833333334,51.30416666666665,0.281,19.73,0,34,34,0,,184.3133226621661,,94.40833333333332,1.0345806516065992,0.966575199765336,,62.21753073725219,0.966575199765336,,,,2.169456944567095,2.6000001,1.9,0.0,,1.1418194445089975,2.169456944567095,True,2.169456944567095
2013-02-15,72.68020833333334,,175.59143749999996,4.926765874150248,0.8841647409207076,53.212145833333324,365.1404166666668,,,1.3648105742540413,,24.69558333333332,0.4806458333333334,91.37087499999996,305.7157291666666,10.532541666666663,52.20659375000002,2.187437500000001,51.20104166666665,2.249,20.43,0,37,37,0,,186.1895861151127,,89.18343749999997,1.0476209238252667,0.9545437450300396,,75.37590673970858,0.9545437450300396,,,,2.6301007306737567,3.2,2.3,0.0,,1.143522056814677,2.6301007306737567,True,2.6301007306737567
2013-02-16,74.69479166666669,,141.42680208333334,5.102777110659357,0.8924614427660237,53.17072916666666,363.7586458333335,,,1.3290447760993571,,19.516375,0.4365833333333334,74.68537500000005,316.6780624999999,10.2755625,52.13260416666669,-0.5978333333333313,51.09447916666668,3.403,20.11,0,39,39,0,,188.08576496763303,,75.28320833333336,1.0556040798226152,0.947324872188862,,68.9408414581946,0.947324872188862,,,,2.404971919675215,2.8,2.1000001,0.0,,1.1452246691203565,2.404971919675215,True,2.404971919675215
